seed,parameter_set,instance,makespan,runtime,model,jobs,machines,upper_bound,gap,category
0,EDD,la05,677.0,0.0095570087432861,EDD,10,5,593,0.14165261382799327,small
0,FIFO,la01,783.0,0.011281132698059027,FIFO,10,5,666,0.17567567567567569,small
0,FIFO,la02,851.0,0.0107579231262207,FIFO,10,5,655,0.29923664122137406,small
0,FIFO,la03,773.0,0.0128700733184814,FIFO,10,5,597,0.2948073701842546,small
0,FIFO,la04,660.0,0.0118989944458007,FIFO,10,5,590,0.11864406779661017,small
0,FIFO,la05,593.0,0.0113658905029296,FIFO,10,5,593,0.0,small
1,FIFO,la01,723.0,0.012139081954956,FIFO,10,5,666,0.08558558558558559,small
1,FIFO,la02,839.0,0.0111780166625976,FIFO,10,5,655,0.28091603053435116,small
1,FIFO,la03,749.0,0.0107011795043945,FIFO,10,5,597,0.254606365159129,small
1,FIFO,la04,734.0,0.0122318267822265,FIFO,10,5,590,0.2440677966101695,small
2,FIFO,la01,802.0,0.0169920921325683,FIFO,10,5,666,0.2042042042042042,small
2,FIFO,la02,812.0,0.0123391151428222,FIFO,10,5,655,0.23969465648854962,small
2,FIFO,la03,778.0,0.0150561332702636,FIFO,10,5,597,0.30318257956448913,small
2,FIFO,la04,744.0,0.0139367580413818,FIFO,10,5,590,0.26101694915254237,small
2,FIFO,la05,648.0,0.0092449188232421,FIFO,10,5,593,0.09274873524451939,small
3,FIFO,la02,877.0,0.0124337673187255,FIFO,10,5,655,0.33893129770992364,small
3,FIFO,la03,699.0,0.014251708984375,FIFO,10,5,597,0.1708542713567839,small
3,FIFO,la04,723.0,0.0116631984710693,FIFO,10,5,590,0.22542372881355932,small
4,FIFO,la02,865.0,0.0086519718170166,FIFO,10,5,655,0.32061068702290074,small
4,FIFO,la03,737.0,0.0096518993377685,FIFO,10,5,597,0.23450586264656617,small
4,FIFO,la04,726.0,0.0086672306060791,FIFO,10,5,590,0.2305084745762712,small
5,FIFO,la02,797.0,0.0103650093078613,FIFO,10,5,655,0.216793893129771,small
5,FIFO,la03,790.0,0.0154628753662109,FIFO,10,5,597,0.3232830820770519,small
5,FIFO,la04,709.0,0.0094339847564697,FIFO,10,5,590,0.2016949152542373,small
6,FIFO,la01,719.0,0.0094079971313476,FIFO,10,5,666,0.07957957957957958,small
6,FIFO,la02,855.0,0.0097758769989013,FIFO,10,5,655,0.3053435114503817,small
6,FIFO,la03,765.0,0.0083060264587402,FIFO,10,5,597,0.2814070351758794,small
6,FIFO,la05,620.0,0.0095541477203369,FIFO,10,5,593,0.045531197301854974,small
7,FIFO,la01,782.0,0.0097098350524902,FIFO,10,5,666,0.17417417417417416,small
7,FIFO,la02,816.0,0.0119521617889404,FIFO,10,5,655,0.24580152671755726,small
7,FIFO,la03,763.0,0.0092580318450927,FIFO,10,5,597,0.2780569514237856,small
7,FIFO,la04,711.0,0.008685827255249,FIFO,10,5,590,0.20508474576271185,small
8,FIFO,la02,808.0,0.0148468017578125,FIFO,10,5,655,0.233587786259542,small
8,FIFO,la03,784.0,0.0102090835571289,FIFO,10,5,597,0.3132328308207705,small
8,FIFO,la04,747.0,0.0128350257873535,FIFO,10,5,590,0.26610169491525426,small
9,FIFO,la02,821.0,0.0136849880218505,FIFO,10,5,655,0.2534351145038168,small
9,FIFO,la04,715.0,0.0097038745880126,FIFO,10,5,590,0.211864406779661,small
0,LOR,la01,854.0,0.009306271870930945,LOR,10,5,666,0.2822822822822823,small
0,LOR,la02,798.0,0.0118811130523681,LOR,10,5,655,0.2183206106870229,small
