makespan,tensor(1757.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,0.0,151.0,214.0,265.0,401.0,445.0,450.0,458.0,460.0,531.0,611.0,675.0,860.0,1011.0,1098.0,1200.0,1351.0,1435.0,1575.0,1630.0
job 1,93.0,198.0,367.0,433.0,486.0,525.0,726.0,788.0,823.0,1182.0,1296.0,1379.0,1397.0,1406.0,1491.0,1494.0,1548.0,1620.0,1666.0,1714.0
job 2,0.0,40.0,229.0,230.0,264.0,266.0,353.0,433.0,497.0,566.0,714.0,910.0,948.0,1071.0,1169.0,1272.0,1397.0,1512.0,1580.0,1674.0
job 3,0.0,83.0,151.0,253.0,292.0,426.0,444.0,523.0,611.0,771.0,823.0,866.0,897.0,939.0,1004.0,1075.0,1163.0,1171.0,1263.0,1416.0
job 4,9.0,145.0,202.0,227.0,292.0,675.0,860.0,910.0,944.0,1019.0,1058.0,1091.0,1179.0,1205.0,1259.0,1450.0,1513.0,1518.0,1527.0,1564.0
job 5,109.0,154.0,232.0,264.0,288.0,366.0,460.0,648.0,695.0,765.0,827.0,916.0,1037.0,1163.0,1208.0,1296.0,1479.0,1567.0,1590.0,1666.0
job 6,0.0,405.0,577.0,675.0,695.0,789.0,798.0,860.0,917.0,1006.0,1096.0,1185.0,1263.0,1351.0,1375.0,1527.0,1623.0,1628.0,1680.0,1743.0
job 7,179.0,230.0,292.0,367.0,458.0,522.0,566.0,620.0,714.0,734.0,808.0,890.0,944.0,1037.0,1133.0,1208.0,1306.0,1366.0,1494.0,1500.0
job 8,63.0,145.0,227.0,267.0,525.0,567.0,619.0,694.0,792.0,800.0,897.0,939.0,1011.0,1085.0,1168.0,1259.0,1397.0,1416.0,1428.0,1491.0
job 9,0.0,96.0,187.0,332.0,434.0,520.0,522.0,535.0,620.0,629.0,726.0,808.0,902.0,938.0,953.0,1091.0,1187.0,1248.0,1336.0,1374.0
job 10,0.0,23.0,71.0,156.0,259.0,347.0,426.0,440.0,531.0,898.0,977.0,1019.0,1072.0,1179.0,1251.0,1329.0,1421.0,1489.0,1493.0,1590.0
job 11,40.0,121.0,182.0,232.0,440.0,531.0,610.0,670.0,672.0,681.0,798.0,948.0,1019.0,1108.0,1254.0,1472.0,1518.0,1573.0,1656.0,1743.0
job 12,202.0,288.0,378.0,401.0,562.0,772.0,867.0,881.0,937.0,1012.0,1075.0,1122.0,1185.0,1212.0,1300.0,1322.0,1345.0,1413.0,1489.0,1566.0
job 13,0.0,79.0,137.0,291.0,347.0,725.0,805.0,811.0,866.0,925.0,954.0,1006.0,1047.0,1096.0,1177.0,1258.0,1336.0,1406.0,1628.0,1714.0
job 14,0.0,9.0,70.0,96.0,263.0,346.0,442.0,535.0,619.0,823.0,902.0,907.0,997.0,1102.0,1263.0,1322.0,1406.0,1549.0,1590.0,1675.0
job 15,0.0,155.0,156.0,167.0,203.0,292.0,300.0,326.0,390.0,468.0,629.0,1194.0,1266.0,1379.0,1491.0,1568.0,1581.0,1595.0,1680.0,1720.0
job 16,23.0,71.0,137.0,180.0,232.0,263.0,311.0,629.0,725.0,813.0,917.0,999.0,1036.0,1155.0,1187.0,1237.0,1358.0,1426.0,1627.0,1685.0
job 17,0.0,63.0,97.0,187.0,422.0,511.0,542.0,549.0,602.0,629.0,716.0,743.0,823.0,850.0,954.0,1012.0,1137.0,1306.0,1441.0,1546.0
job 18,83.0,145.0,230.0,328.0,430.0,486.0,500.0,511.0,613.0,654.0,725.0,806.0,867.0,938.0,977.0,1065.0,1155.0,1237.0,1421.0,1566.0
job 19,104.0,178.0,214.0,291.0,366.0,452.0,531.0,567.0,618.0,670.0,767.0,771.0,827.0,907.0,1106.0,1160.0,1406.0,1479.0,1575.0,1627.0
