makespan,2035.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,246.0,322.0,364.0,577.0,597.0,906.0,947.0,1073.0,1276.0,1318.0,1364.0,1379.0,1476.0,1582.0,1666.0,1767.0,1879.0,1885.0,1891.0,1918.0
job 1,0.0,17.0,121.0,172.0,177.0,211.0,360.0,450.0,483.0,516.0,538.0,593.0,672.0,723.0,765.0,828.0,839.0,897.0,998.0,1057.0
job 2,0.0,168.0,207.0,247.0,394.0,432.0,439.0,464.0,584.0,628.0,895.0,985.0,1135.0,1232.0,1364.0,1396.0,1505.0,1572.0,1651.0,1720.0
job 3,50.0,169.0,621.0,718.0,759.0,844.0,855.0,897.0,967.0,1070.0,1155.0,1336.0,1433.0,1542.0,1584.0,1613.0,1622.0,1634.0,1657.0,1666.0
job 4,17.0,172.0,237.0,361.0,439.0,572.0,665.0,719.0,790.0,811.0,973.0,1138.0,1235.0,1358.0,1447.0,1610.0,1659.0,1698.0,1756.0,1912.0
job 5,136.0,223.0,543.0,586.0,681.0,716.0,808.0,930.0,1048.0,1135.0,1219.0,1280.0,1378.0,1414.0,1484.0,1542.0,1652.0,1733.0,1792.0,1830.0
job 6,293.0,381.0,427.0,501.0,538.0,669.0,688.0,692.0,723.0,747.0,808.0,984.0,1074.0,1141.0,1222.0,1282.0,1363.0,1365.0,1416.0,1516.0
job 7,125.0,152.0,381.0,628.0,796.0,811.0,844.0,919.0,990.0,1048.0,1116.0,1222.0,1316.0,1427.0,1509.0,1590.0,1683.0,1724.0,1830.0,1928.0
job 8,207.0,293.0,325.0,395.0,482.0,553.0,631.0,705.0,808.0,1001.0,1155.0,1168.0,1230.0,1455.0,1733.0,1738.0,1800.0,1866.0,1912.0,1945.0
job 9,154.0,246.0,450.0,544.0,692.0,707.0,722.0,827.0,882.0,1080.0,1278.0,1363.0,1378.0,1430.0,1505.0,1510.0,1569.0,1583.0,1659.0,1792.0
job 10,0.0,177.0,211.0,252.0,276.0,432.0,718.0,789.0,839.0,930.0,968.0,1132.0,1260.0,1416.0,1470.0,1485.0,1651.0,1722.0,1767.0,1817.0
job 11,0.0,35.0,46.0,114.0,230.0,327.0,435.0,722.0,820.0,917.0,942.0,998.0,1158.0,1243.0,1408.0,1427.0,1550.0,1590.0,1634.0,1738.0
job 12,0.0,322.0,444.0,597.0,607.0,820.0,992.0,1072.0,1106.0,1217.0,1282.0,1364.0,1384.0,1448.0,1516.0,1722.0,1779.0,1876.0,1879.0,1980.0
job 13,0.0,82.0,266.0,358.0,586.0,621.0,667.0,829.0,895.0,930.0,1026.0,1106.0,1155.0,1258.0,1318.0,1328.0,1444.0,1532.0,1658.0,1866.0
job 14,0.0,1.0,98.0,170.0,281.0,375.0,411.0,479.0,501.0,658.0,742.0,903.0,1155.0,1239.0,1357.0,1444.0,1610.0,1652.0,1657.0,1876.0
job 15,114.0,147.0,169.0,258.0,384.0,424.0,464.0,846.0,917.0,1037.0,1181.0,1311.0,1336.0,1406.0,1419.0,1510.0,1594.0,1691.0,1749.0,1796.0
job 16,0.0,152.0,240.0,263.0,375.0,384.0,435.0,513.0,688.0,710.0,725.0,780.0,862.0,924.0,990.0,1056.0,1064.0,1138.0,1298.0,1419.0
job 17,0.0,114.0,189.0,281.0,411.0,501.0,523.0,544.0,570.0,572.0,789.0,846.0,934.0,1147.0,1239.0,1276.0,1287.0,1470.0,1616.0,1729.0
job 18,0.0,47.0,98.0,168.0,174.0,211.0,304.0,490.0,532.0,725.0,985.0,1056.0,1141.0,1179.0,1287.0,1364.0,1532.0,1683.0,1767.0,1769.0
job 19,0.0,36.0,114.0,125.0,209.0,327.0,360.0,516.0,577.0,672.0,747.0,807.0,828.0,1009.0,1150.0,1232.0,1318.0,1322.0,1378.0,1430.0
