makespan,2113.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,17.0,67.0,131.0,253.0,258.0,315.0,425.0,534.0,617.0,907.0,1034.0,1129.0,1179.0,1353.0,1427.0,1465.0,1491.0,1518.0,1561.0,1624.0
job 1,0.0,36.0,249.0,288.0,376.0,448.0,476.0,553.0,658.0,746.0,924.0,969.0,1107.0,1149.0,1180.0,1265.0,1359.0,1423.0,1506.0,1546.0
job 2,0.0,47.0,145.0,622.0,746.0,844.0,903.0,1126.0,1219.0,1359.0,1457.0,1652.0,1656.0,1715.0,1800.0,1933.0,2008.0,2021.0,2034.0,2045.0
job 3,47.0,130.0,217.0,478.0,659.0,719.0,782.0,889.0,934.0,1052.0,1107.0,1167.0,1358.0,1408.0,1442.0,1602.0,1652.0,1818.0,1918.0,1974.0
job 4,213.0,240.0,281.0,314.0,715.0,872.0,982.0,1034.0,1042.0,1163.0,1336.0,1415.0,1424.0,1458.0,1516.0,1529.0,1613.0,1732.0,1761.0,1800.0
job 5,0.0,18.0,85.0,106.0,238.0,602.0,662.0,837.0,945.0,1033.0,1089.0,1090.0,1173.0,1210.0,1339.0,1457.0,1608.0,1725.0,1804.0,1869.0
job 6,77.0,90.0,175.0,216.0,265.0,288.0,315.0,395.0,397.0,425.0,566.0,693.0,849.0,965.0,1154.0,1235.0,1334.0,1511.0,1646.0,1869.0
job 7,0.0,17.0,30.0,148.0,398.0,478.0,569.0,577.0,664.0,852.0,919.0,1036.0,1106.0,1211.0,1415.0,1721.0,1789.0,1830.0,1892.0,1909.0
job 8,51.0,213.0,287.0,385.0,515.0,695.0,782.0,919.0,988.0,1082.0,1163.0,1211.0,1321.0,1427.0,1508.0,1562.0,1631.0,1728.0,1819.0,1869.0
job 9,15.0,147.0,453.0,553.0,784.0,880.0,973.0,1036.0,1072.0,1149.0,1177.0,1314.0,1412.0,1439.0,1506.0,1676.0,1704.0,1811.0,1883.0,1959.0
job 10,171.0,265.0,317.0,353.0,445.0,523.0,719.0,794.0,821.0,1034.0,1106.0,1143.0,1247.0,1319.0,1424.0,1570.0,1646.0,1725.0,1818.0,1909.0
job 11,0.0,210.0,241.0,313.0,341.0,410.0,510.0,533.0,632.0,647.0,738.0,794.0,868.0,1002.0,1089.0,1211.0,1286.0,1343.0,1408.0,1627.0
job 12,90.0,145.0,533.0,622.0,667.0,805.0,872.0,969.0,1067.0,1180.0,1236.0,1286.0,1439.0,1518.0,1608.0,1707.0,1757.0,1766.0,1869.0,2021.0
job 13,0.0,118.0,281.0,288.0,352.0,455.0,497.0,617.0,753.0,800.0,924.0,1009.0,1039.0,1066.0,1082.0,1086.0,1277.0,1314.0,1336.0,1433.0
job 14,0.0,10.0,59.0,313.0,376.0,413.0,445.0,585.0,598.0,692.0,846.0,942.0,1042.0,1143.0,1261.0,1327.0,1522.0,1559.0,1638.0,1804.0
job 15,61.0,271.0,385.0,413.0,492.0,498.0,515.0,647.0,656.0,734.0,821.0,880.0,933.0,1072.0,1210.0,1425.0,1494.0,1571.0,1728.0,1883.0
job 16,0.0,131.0,213.0,352.0,448.0,596.0,693.0,695.0,734.0,806.0,830.0,903.0,1231.0,1322.0,1494.0,1522.0,1602.0,1672.0,1806.0,1823.0
job 17,68.0,77.0,120.0,210.0,249.0,271.0,433.0,510.0,820.0,837.0,942.0,1021.0,1033.0,1129.0,1170.0,1220.0,1319.0,1572.0,1638.0,1727.0
job 18,0.0,2.0,68.0,85.0,130.0,223.0,430.0,536.0,578.0,638.0,663.0,806.0,846.0,1219.0,1231.0,1255.0,1311.0,1353.0,1519.0,1656.0
job 19,0.0,85.0,125.0,341.0,528.0,566.0,658.0,695.0,830.0,969.0,1163.0,1247.0,1343.0,1367.0,1480.0,1559.0,1656.0,1728.0,1733.0,1811.0
