makespan,1978.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,150.0,221.0,352.0,422.0,551.0,687.0,816.0,964.0,1061.0,1141.0,1306.0,1427.0,1520.0,1581.0,1603.0,1608.0,1639.0,1716.0,1810.0,1866.0
job 1,46.0,98.0,149.0,241.0,416.0,547.0,660.0,746.0,754.0,775.0,786.0,865.0,968.0,983.0,1058.0,1132.0,1276.0,1388.0,1448.0,1584.0
job 2,52.0,226.0,319.0,506.0,558.0,699.0,725.0,834.0,942.0,1013.0,1172.0,1205.0,1408.0,1434.0,1505.0,1581.0,1661.0,1701.0,1792.0,1888.0
job 3,96.0,159.0,352.0,428.0,520.0,599.0,603.0,673.0,745.0,865.0,921.0,983.0,999.0,1023.0,1039.0,1149.0,1302.0,1378.0,1427.0,1537.0
job 4,0.0,78.0,193.0,247.0,318.0,368.0,407.0,506.0,632.0,660.0,663.0,687.0,732.0,925.0,1058.0,1143.0,1243.0,1331.0,1401.0,1458.0
job 5,20.0,174.0,247.0,340.0,352.0,551.0,563.0,609.0,725.0,787.0,834.0,981.0,1039.0,1108.0,1184.0,1239.0,1305.0,1328.0,1379.0,1515.0
job 6,0.0,143.0,156.0,287.0,368.0,421.0,512.0,748.0,799.0,908.0,1028.0,1108.0,1130.0,1179.0,1259.0,1331.0,1513.0,1584.0,1651.0,1661.0
job 7,0.0,60.0,143.0,329.0,423.0,509.0,548.0,549.0,796.0,884.0,942.0,1015.0,1058.0,1129.0,1189.0,1193.0,1239.0,1359.0,1506.0,1556.0
job 8,265.0,352.0,417.0,428.0,490.0,491.0,556.0,666.0,791.0,837.0,979.0,1066.0,1113.0,1166.0,1206.0,1243.0,1392.0,1467.0,1506.0,1574.0
job 9,0.0,12.0,73.0,277.0,329.0,560.0,656.0,723.0,816.0,927.0,929.0,1013.0,1074.0,1106.0,1130.0,1224.0,1317.0,1374.0,1408.0,1458.0
job 10,30.0,58.0,149.0,215.0,298.0,359.0,656.0,748.0,778.0,874.0,1023.0,1099.0,1342.0,1401.0,1498.0,1624.0,1701.0,1744.0,1838.0,1893.0
job 11,131.0,202.0,247.0,287.0,295.0,419.0,470.0,481.0,548.0,602.0,687.0,751.0,809.0,890.0,914.0,1143.0,1205.0,1258.0,1329.0,1337.0
job 12,12.0,100.0,156.0,295.0,302.0,373.0,464.0,503.0,636.0,884.0,897.0,914.0,1100.0,1224.0,1252.0,1334.0,1470.0,1516.0,1571.0,1742.0
job 13,100.0,161.0,221.0,359.0,430.0,541.0,632.0,673.0,745.0,913.0,1074.0,1283.0,1304.0,1340.0,1520.0,1573.0,1639.0,1647.0,1705.0,1792.0
job 14,0.0,168.0,299.0,338.0,422.0,506.0,593.0,687.0,776.0,798.0,891.0,981.0,1066.0,1224.0,1317.0,1449.0,1492.0,1585.0,1684.0,1716.0
job 15,0.0,20.0,221.0,319.0,337.0,452.0,509.0,551.0,724.0,891.0,1113.0,1190.0,1305.0,1342.0,1392.0,1556.0,1589.0,1649.0,1744.0,1777.0
job 16,98.0,202.0,218.0,234.0,345.0,464.0,541.0,723.0,784.0,785.0,802.0,848.0,912.0,1021.0,1105.0,1206.0,1283.0,1306.0,1467.0,1513.0
job 17,0.0,20.0,78.0,94.0,248.0,425.0,452.0,483.0,554.0,644.0,897.0,925.0,942.0,972.0,1099.0,1182.0,1239.0,1252.0,1329.0,1357.0
job 18,41.0,106.0,162.0,319.0,407.0,427.0,483.0,507.0,602.0,665.0,689.0,732.0,776.0,799.0,802.0,860.0,921.0,1065.0,1143.0,1205.0
job 19,0.0,30.0,93.0,195.0,338.0,407.0,445.0,495.0,689.0,752.0,860.0,942.0,1021.0,1055.0,1143.0,1184.0,1312.0,1374.0,1379.0,1448.0
