makespan,tensor(1612.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,297.0,342.0,398.0,515.0,613.0,705.0,729.0,785.0,835.0,884.0,904.0,996.0,1013.0,1044.0,1081.0,1094.0,1123.0,1154.0,1298.0,1314.0
job 1,0.0,90.0,139.0,225.0,273.0,397.0,415.0,483.0,562.0,656.0,939.0,1070.0,1102.0,1164.0,1214.0,1249.0,1282.0,1328.0,1480.0,1539.0
job 2,0.0,70.0,108.0,200.0,325.0,402.0,502.0,531.0,582.0,639.0,666.0,785.0,904.0,963.0,1103.0,1364.0,1406.0,1424.0,1472.0,1532.0
job 3,0.0,159.0,243.0,277.0,325.0,420.0,496.0,561.0,618.0,626.0,691.0,733.0,777.0,901.0,921.0,1272.0,1373.0,1411.0,1463.0,1528.0
job 4,0.0,6.0,53.0,177.0,217.0,349.0,478.0,844.0,948.0,985.0,1083.0,1103.0,1115.0,1185.0,1314.0,1328.0,1370.0,1474.0,1521.0,1560.0
job 5,190.0,245.0,255.0,256.0,323.0,390.0,467.0,492.0,520.0,600.0,691.0,858.0,892.0,956.0,1109.0,1121.0,1136.0,1267.0,1403.0,1500.0
job 6,245.0,342.0,398.0,476.0,478.0,485.0,628.0,705.0,801.0,844.0,886.0,939.0,991.0,1005.0,1034.0,1103.0,1233.0,1400.0,1513.0,1593.0
job 7,141.0,273.0,367.0,495.0,539.0,600.0,682.0,729.0,770.0,918.0,1033.0,1070.0,1115.0,1212.0,1267.0,1268.0,1342.0,1402.0,1503.0,1560.0
job 8,0.0,15.0,36.0,200.0,323.0,337.0,363.0,381.0,415.0,495.0,554.0,611.0,652.0,731.0,828.0,969.0,1078.0,1328.0,1472.0,1528.0
job 9,97.0,190.0,242.0,258.0,342.0,386.0,402.0,448.0,482.0,554.0,682.0,731.0,792.0,858.0,945.0,951.0,1038.0,1083.0,1225.0,1300.0
job 10,0.0,58.0,120.0,169.0,240.0,381.0,476.0,626.0,705.0,761.0,833.0,1013.0,1110.0,1113.0,1210.0,1318.0,1447.0,1540.0,1567.0,1580.0
job 11,6.0,91.0,177.0,235.0,298.0,396.0,416.0,417.0,526.0,617.0,649.0,668.0,763.0,1117.0,1363.0,1409.0,1414.0,1424.0,1447.0,1450.0
job 12,91.0,141.0,342.0,366.0,410.0,491.0,557.0,582.0,596.0,646.0,754.0,817.0,993.0,1044.0,1110.0,1185.0,1267.0,1450.0,1480.0,1539.0
job 13,0.0,58.0,174.0,243.0,280.0,302.0,377.0,410.0,442.0,525.0,705.0,785.0,886.0,890.0,893.0,945.0,1112.0,1226.0,1234.0,1342.0
job 14,59.0,152.0,254.0,366.0,396.0,398.0,402.0,462.0,515.0,828.0,853.0,901.0,931.0,996.0,1205.0,1216.0,1245.0,1255.0,1300.0,1385.0
job 15,42.0,92.0,152.0,225.0,309.0,521.0,559.0,685.0,801.0,884.0,885.0,893.0,961.0,1034.0,1194.0,1350.0,1405.0,1469.0,1472.0,1545.0
job 16,0.0,146.0,159.0,261.0,277.0,367.0,369.0,412.0,435.0,561.0,644.0,704.0,777.0,897.0,991.0,1038.0,1129.0,1216.0,1392.0,1500.0
job 17,0.0,23.0,58.0,146.0,286.0,302.0,476.0,582.0,635.0,752.0,844.0,886.0,895.0,949.0,1035.0,1103.0,1212.0,1335.0,1428.0,1521.0
job 18,0.0,58.0,101.0,169.0,197.0,258.0,309.0,402.0,492.0,733.0,830.0,963.0,1018.0,1146.0,1245.0,1259.0,1260.0,1341.0,1392.0,1463.0
job 19,0.0,23.0,70.0,121.0,217.0,405.0,502.0,570.0,617.0,628.0,705.0,792.0,833.0,891.0,951.0,1005.0,1034.0,1109.0,1171.0,1419.0
