makespan,tensor(2252.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,15.0,87.0,130.0,246.0,333.0,447.0,471.0,597.0,767.0,828.0,911.0,1233.0,1247.0,1319.0,1403.0,1467.0,1550.0,1680.0,1732.0,2127.0
job 1,0.0,58.0,121.0,184.0,398.0,512.0,633.0,766.0,835.0,917.0,1109.0,1306.0,1361.0,1530.0,1639.0,1763.0,1850.0,1937.0,1982.0,2035.0
job 2,227.0,235.0,297.0,324.0,335.0,380.0,457.0,606.0,675.0,859.0,1353.0,1396.0,1521.0,1671.0,1687.0,1779.0,1983.0,2005.0,2021.0,2116.0
job 3,0.0,78.0,114.0,197.0,212.0,297.0,342.0,416.0,459.0,596.0,714.0,773.0,861.0,965.0,1087.0,1145.0,1151.0,1418.0,1467.0,2103.0
job 4,0.0,55.0,80.0,200.0,252.0,335.0,382.0,427.0,627.0,755.0,885.0,987.0,1068.0,1158.0,1276.0,1655.0,1741.0,1898.0,1983.0,2116.0
job 5,0.0,63.0,158.0,324.0,415.0,584.0,667.0,760.0,824.0,876.0,962.0,1016.0,1113.0,1205.0,1276.0,1313.0,1320.0,1857.0,1937.0,1983.0
job 6,158.0,186.0,215.0,378.0,398.0,447.0,513.0,596.0,688.0,876.0,922.0,1360.0,1393.0,1483.0,1566.0,1574.0,1614.0,1698.0,1796.0,1937.0
job 7,0.0,48.0,135.0,186.0,232.0,270.0,398.0,437.0,695.0,900.0,962.0,1002.0,1142.0,1285.0,1320.0,1418.0,1536.0,1614.0,1932.0,2129.0
job 8,77.0,166.0,252.0,306.0,378.0,393.0,458.0,778.0,828.0,897.0,978.0,1076.0,1113.0,1181.0,1247.0,1323.0,1631.0,1778.0,1815.0,1952.0
job 9,69.0,94.0,135.0,227.0,282.0,366.0,398.0,513.0,641.0,695.0,775.0,1011.0,1044.0,1129.0,1156.0,1202.0,1231.0,1302.0,1452.0,1497.0
job 10,0.0,116.0,514.0,591.0,753.0,778.0,898.0,996.0,1161.0,1168.0,1214.0,1443.0,1551.0,1648.0,1707.0,1727.0,1874.0,1983.0,2049.0,2112.0
job 11,0.0,111.0,265.0,415.0,440.0,848.0,895.0,917.0,1011.0,1115.0,1181.0,1276.0,1429.0,1452.0,1507.0,1767.0,1860.0,1942.0,1980.0,2007.0
