makespan,tensor(2218.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,102.0,397.0,421.0,770.0,860.0,900.0,987.0,1050.0,1109.0,1185.0,1262.0,1599.0,1721.0,1832.0,1935.0,2012.0,2023.0,2039.0,2079.0,2149.0
job 1,7.0,245.0,315.0,396.0,460.0,645.0,749.0,840.0,947.0,990.0,1037.0,1080.0,1169.0,1241.0,1374.0,1441.0,1514.0,1537.0,1684.0,2113.0
job 2,317.0,425.0,445.0,509.0,568.0,621.0,718.0,748.0,859.0,873.0,916.0,925.0,1421.0,1510.0,1599.0,1639.0,1731.0,1950.0,1974.0,2149.0
job 3,396.0,420.0,497.0,638.0,677.0,772.0,845.0,957.0,1156.0,1206.0,1331.0,1396.0,1422.0,1500.0,1543.0,1622.0,1639.0,1802.0,1899.0,2145.0
job 4,0.0,94.0,176.0,207.0,296.0,334.0,396.0,481.0,555.0,822.0,937.0,1037.0,1053.0,1197.0,1291.0,1358.0,1636.0,1973.0,2066.0,2139.0
job 5,148.0,256.0,441.0,531.0,570.0,677.0,722.0,770.0,814.0,869.0,887.0,947.0,1001.0,1010.0,1022.0,1034.0,1415.0,1639.0,1737.0,1952.0
job 6,0.0,201.0,256.0,326.0,359.0,568.0,682.0,1050.0,1148.0,1206.0,1301.0,1399.0,1444.0,1510.0,1614.0,1820.0,1915.0,1980.0,2052.0,2066.0
job 7,123.0,263.0,343.0,455.0,498.0,544.0,637.0,799.0,878.0,1279.0,1364.0,1403.0,1441.0,1469.0,1536.0,1643.0,1708.0,1794.0,1892.0,1899.0
job 8,58.0,270.0,334.0,460.0,497.0,534.0,568.0,734.0,1018.0,1064.0,1140.0,1432.0,1595.0,1661.0,1825.0,1853.0,1974.0,2049.0,2130.0,2153.0
job 9,0.0,21.0,36.0,203.0,245.0,279.0,378.0,429.0,735.0,798.0,822.0,964.0,1012.0,1080.0,1181.0,1290.0,1423.0,1731.0,1825.0,1966.0
job 10,0.0,3.0,90.0,133.0,215.0,236.0,395.0,725.0,918.0,990.0,1102.0,1134.0,1227.0,1241.0,1274.0,1357.0,1641.0,1928.0,2104.0,2145.0
job 11,0.0,57.0,148.0,248.0,276.0,324.0,421.0,654.0,705.0,756.0,845.0,907.0,916.0,1176.0,1258.0,1504.0,1552.0,1622.0,2009.0,2088.0
job 12,0.0,93.0,280.0,359.0,420.0,468.0,528.0,583.0,625.0,1101.0,1137.0,1239.0,1265.0,1327.0,1472.0,1899.0,1919.0,1980.0,2036.0,2110.0
job 13,0.0,94.0,183.0,248.0,331.0,513.0,651.0,735.0,805.0,936.0,938.0,1053.0,1243.0,1296.0,1342.0,1466.0,1537.0,1623.0,1684.0,1919.0
job 14,0.0,95.0,184.0,186.0,279.0,468.0,670.0,767.0,879.0,943.0,1037.0,1039.0,1170.0,1205.0,1329.0,1432.0,1692.0,1736.0,1797.0,1934.0
job 15,0.0,90.0,118.0,205.0,263.0,315.0,334.0,429.0,472.0,533.0,640.0,904.0,1050.0,1168.0,1244.0,1336.0,1760.0,1850.0,2012.0,2102.0
job 16,3.0,113.0,252.0,498.0,637.0,665.0,708.0,932.0,1109.0,1364.0,1424.0,1534.0,1549.0,1837.0,1859.0,1865.0,1943.0,1973.0,2024.0,2153.0
job 17,0.0,188.0,209.0,295.0,362.0,455.0,531.0,637.0,725.0,878.0,964.0,1081.0,1244.0,1290.0,1342.0,1427.0,1432.0,1514.0,1904.0,2016.0
job 18,0.0,100.0,166.0,176.0,189.0,291.0,317.0,367.0,544.0,774.0,852.0,1006.0,1053.0,1137.0,1354.0,1470.0,1512.0,1575.0,1577.0,1636.0
job 19,0.0,24.0,88.0,133.0,197.0,376.0,471.0,528.0,540.0,578.0,592.0,670.0,813.0,910.0,946.0,1057.0,1137.0,1147.0,1320.0,1859.0
job 20,36.0,104.0,334.0,376.0,472.0,519.0,622.0,768.0,906.0,1064.0,1134.0,1222.0,1262.0,1330.0,1512.0,1708.0,1767.0,1852.0,2088.0,2173.0
job 21,104.0,150.0,185.0,471.0,570.0,631.0,900.0,906.0,1225.0,1298.0,1517.0,1623.0,1693.0,1746.0,1852.0,1964.0,1984.0,2066.0,2145.0,2211.0
job 22,29.0,100.0,141.0,216.0,691.0,772.0,943.0,1042.0,1112.0,1228.0,1412.0,1511.0,1528.0,1661.0,1707.0,1758.0,1892.0,1964.0,2016.0,2071.0
job 23,11.0,29.0,126.0,270.0,327.0,438.0,509.0,751.0,811.0,907.0,957.0,969.0,984.0,1135.0,1222.0,1528.0,1543.0,1595.0,1639.0,2094.0
job 24,0.0,47.0,126.0,183.0,270.0,344.0,396.0,445.0,575.0,681.0,794.0,878.0,938.0,1026.0,1414.0,1526.0,1621.0,1712.0,1864.0,1899.0
job 25,24.0,39.0,88.0,209.0,277.0,313.0,324.0,592.0,670.0,923.0,1372.0,1415.0,1419.0,1428.0,1504.0,1635.0,1707.0,1794.0,1859.0,2066.0
job 26,166.0,233.0,301.0,390.0,413.0,494.0,582.0,583.0,646.0,786.0,1083.0,1190.0,1274.0,1279.0,1305.0,1374.0,1404.0,1575.0,1611.0,1723.0
job 27,117.0,211.0,296.0,362.0,533.0,582.0,638.0,682.0,729.0,734.0,843.0,946.0,1079.0,1205.0,1301.0,1336.0,1427.0,1452.0,1549.0,1723.0
job 28,39.0,65.0,184.0,635.0,729.0,772.0,1026.0,1083.0,1088.0,1170.0,1243.0,1396.0,1466.0,1536.0,1611.0,1756.0,1850.0,1944.0,2008.0,2052.0
job 29,26.0,604.0,654.0,749.0,798.0,840.0,873.0,887.0,892.0,932.0,987.0,1112.0,1168.0,1235.0,1238.0,1330.0,1357.0,1736.0,1832.0,1904.0
