makespan,2616.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,158.0,289.0,339.0,443.0,529.0,614.0,821.0,951.0,1217.0,1329.0,1398.0,1515.0,1717.0,1781.0,1894.0,2002.0,2086.0,2121.0,2167.0,2269.0
job 1,0.0,40.0,227.0,257.0,359.0,493.0,524.0,558.0,805.0,873.0,905.0,994.0,1188.0,1383.0,1475.0,1669.0,1768.0,1837.0,1913.0,1988.0
job 2,0.0,357.0,478.0,559.0,628.0,776.0,889.0,1100.0,1271.0,1340.0,1493.0,1535.0,1719.0,1988.0,2098.0,2242.0,2301.0,2341.0,2406.0,2434.0
job 3,114.0,211.0,230.0,253.0,341.0,344.0,421.0,449.0,477.0,559.0,611.0,671.0,708.0,865.0,936.0,1029.0,1161.0,1252.0,1524.0,1756.0
job 4,73.0,162.0,243.0,343.0,561.0,730.0,899.0,1043.0,1100.0,1186.0,1262.0,1324.0,1497.0,1590.0,1618.0,1779.0,1869.0,2086.0,2143.0,2171.0
job 5,76.0,194.0,260.0,396.0,472.0,597.0,766.0,784.0,975.0,1038.0,1042.0,1223.0,1309.0,1547.0,1686.0,1718.0,1762.0,1817.0,1914.0,2070.0
job 6,0.0,6.0,203.0,289.0,355.0,449.0,827.0,863.0,1038.0,1194.0,1256.0,1357.0,1429.0,1452.0,1778.0,1821.0,1989.0,2086.0,2158.0,2264.0
job 7,0.0,1.0,55.0,339.0,424.0,513.0,707.0,805.0,1036.0,1306.0,1377.0,1419.0,1523.0,1543.0,1583.0,1669.0,1785.0,1869.0,2066.0,2098.0
job 8,0.0,239.0,243.0,373.0,419.0,421.0,571.0,653.0,930.0,1017.0,1182.0,1292.0,1583.0,1676.0,1810.0,1950.0,2032.0,2285.0,2330.0,2400.0
job 9,0.0,107.0,346.0,420.0,621.0,694.0,863.0,1067.0,1134.0,1377.0,1452.0,1568.0,1647.0,1897.0,2074.0,2158.0,2330.0,2374.0,2469.0,2549.0
job 10,34.0,92.0,230.0,293.0,357.0,468.0,775.0,827.0,836.0,885.0,1029.0,1065.0,1093.0,1372.0,1462.0,1515.0,1549.0,1644.0,1736.0,1785.0
job 11,0.0,87.0,159.0,211.0,287.0,694.0,872.0,981.0,1079.0,1112.0,1140.0,1395.0,1815.0,1888.0,1949.0,1982.0,2038.0,2167.0,2306.0,2349.0
job 12,83.0,195.0,239.0,419.0,590.0,622.0,720.0,795.0,1008.0,1079.0,1278.0,1652.0,1820.0,1897.0,1929.0,1990.0,2061.0,2214.0,2309.0,2377.0
job 13,0.0,9.0,12.0,277.0,387.0,448.0,466.0,489.0,578.0,609.0,665.0,713.0,896.0,909.0,990.0,1127.0,1129.0,1222.0,1329.0,1479.0
job 14,0.0,39.0,229.0,338.0,437.0,477.0,559.0,690.0,776.0,973.0,1180.0,1333.0,1427.0,1446.0,1498.0,1583.0,1733.0,1874.0,1984.0,2057.0
job 15,39.0,114.0,379.0,448.0,628.0,764.0,1040.0,1127.0,1227.0,1521.0,1888.0,2007.0,2135.0,2181.0,2269.0,2285.0,2336.0,2377.0,2467.0,2568.0
job 16,92.0,257.0,337.0,514.0,551.0,798.0,799.0,914.0,1144.0,1360.0,1372.0,1514.0,1747.0,1906.0,2046.0,2181.0,2217.0,2274.0,2350.0,2446.0
job 17,0.0,213.0,256.0,471.0,586.0,629.0,731.0,852.0,963.0,1012.0,1029.0,1142.0,1318.0,1384.0,1475.0,1533.0,1619.0,1637.0,1669.0,1689.0
job 18,0.0,260.0,472.0,653.0,731.0,825.0,894.0,949.0,1087.0,1351.0,1429.0,1524.0,1549.0,1679.0,1762.0,1793.0,1817.0,1825.0,1837.0,1842.0
job 19,6.0,68.0,610.0,660.0,730.0,840.0,979.0,1140.0,1223.0,1271.0,1289.0,1384.0,1685.0,1880.0,1992.0,2156.0,2222.0,2349.0,2423.0,2487.0
job 20,5.0,159.0,204.0,227.0,277.0,287.0,489.0,561.0,614.0,760.0,840.0,939.0,1118.0,1256.0,1340.0,1382.0,1449.0,1676.0,1785.0,1871.0
job 21,10.0,96.0,155.0,211.0,406.0,506.0,566.0,639.0,660.0,690.0,794.0,971.0,1046.0,1139.0,1305.0,1474.0,1498.0,1512.0,1661.0,1838.0
job 22,0.0,65.0,252.0,344.0,632.0,694.0,708.0,738.0,900.0,1012.0,1264.0,1429.0,1774.0,1920.0,1984.0,2143.0,2270.0,2341.0,2400.0,2418.0
job 23,1.0,23.0,40.0,178.0,337.0,396.0,406.0,461.0,836.0,923.0,960.0,1022.0,1129.0,1139.0,1142.0,1189.0,1415.0,1497.0,1593.0,1695.0
job 24,87.0,289.0,499.0,590.0,651.0,713.0,774.0,794.0,848.0,905.0,1060.0,1312.0,1351.0,1360.0,1396.0,1512.0,1607.0,1781.0,1871.0,1932.0
job 25,132.0,213.0,229.0,370.0,552.0,621.0,799.0,880.0,963.0,1100.0,1194.0,1252.0,1395.0,1472.0,1607.0,1686.0,1762.0,1859.0,1920.0,2011.0
job 26,27.0,146.0,194.0,222.0,282.0,540.0,669.0,848.0,904.0,1053.0,1226.0,1324.0,1343.0,1429.0,1579.0,1669.0,1706.0,1842.0,1900.0,2032.0
job 27,0.0,274.0,370.0,448.0,578.0,649.0,771.0,904.0,1011.0,1209.0,1359.0,1570.0,1652.0,1679.0,1688.0,1851.0,1949.0,2137.0,2214.0,2371.0
job 28,0.0,27.0,151.0,448.0,623.0,880.0,975.0,1022.0,1042.0,1131.0,1262.0,1329.0,1496.0,1689.0,1756.0,1785.0,1869.0,1962.0,2330.0,2350.0
job 29,23.0,177.0,704.0,777.0,965.0,1116.0,1209.0,1217.0,1232.0,1427.0,1523.0,1593.0,1766.0,1922.0,2011.0,2086.0,2120.0,2122.0,2137.0,2238.0
