makespan,2318.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,6.0,92.0,140.0,172.0,257.0,296.0,431.0,478.0,652.0,749.0,939.0,956.0,960.0,1129.0,1241.0,1413.0,1544.0,1670.0,1786.0,1985.0
job 1,41.0,110.0,208.0,319.0,432.0,533.0,698.0,889.0,1103.0,1138.0,1178.0,1189.0,1297.0,1323.0,1383.0,1421.0,1461.0,1551.0,1592.0,1834.0
job 2,31.0,203.0,381.0,504.0,662.0,723.0,851.0,1039.0,1059.0,1092.0,1105.0,1241.0,1299.0,1428.0,1503.0,1711.0,1779.0,1812.0,1846.0,2040.0
job 3,2.0,242.0,319.0,487.0,740.0,826.0,839.0,983.0,1013.0,1071.0,1197.0,1282.0,1336.0,1469.0,1588.0,1757.0,1984.0,2073.0,2119.0,2175.0
job 4,0.0,150.0,325.0,523.0,567.0,752.0,802.0,803.0,1035.0,1089.0,1151.0,1207.0,1350.0,1362.0,1410.0,1651.0,1723.0,1741.0,1810.0,1875.0
job 5,124.0,205.0,405.0,530.0,553.0,576.0,622.0,707.0,838.0,992.0,1166.0,1400.0,1533.0,1614.0,1916.0,2009.0,2033.0,2146.0,2192.0,2271.0
job 6,0.0,76.0,251.0,428.0,644.0,720.0,833.0,877.0,935.0,1059.0,1165.0,1250.0,1466.0,1553.0,1557.0,1684.0,1887.0,1980.0,2087.0,2170.0
job 7,50.0,134.0,146.0,334.0,455.0,492.0,660.0,760.0,964.0,1051.0,1131.0,1185.0,1217.0,1421.0,1466.0,1651.0,1720.0,1743.0,1795.0,2009.0
job 8,85.0,221.0,373.0,469.0,606.0,700.0,711.0,826.0,897.0,1161.0,1264.0,1418.0,1624.0,1743.0,1745.0,1858.0,1954.0,2001.0,2087.0,2118.0
job 9,0.0,6.0,12.0,102.0,255.0,375.0,566.0,685.0,788.0,948.0,1036.0,1187.0,1497.0,1600.0,1629.0,1634.0,1707.0,1748.0,2060.0,2214.0
job 10,18.0,147.0,165.0,285.0,319.0,352.0,514.0,688.0,961.0,1047.0,1250.0,1255.0,1551.0,1571.0,1600.0,1603.0,1734.0,1786.0,1858.0,1933.0
job 11,5.0,102.0,296.0,553.0,644.0,752.0,844.0,906.0,1045.0,1131.0,1181.0,1331.0,1511.0,1741.0,1834.0,1863.0,1878.0,1969.0,2198.0,2214.0
