makespan,2548.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,45.0,347.0,524.0,611.0,846.0,939.0,1204.0,1314.0,1349.0,1529.0,1606.0,1634.0,1671.0,1770.0,1882.0,1939.0,2116.0,2183.0,2269.0,2291.0
job 1,0.0,68.0,218.0,304.0,381.0,469.0,552.0,585.0,939.0,1102.0,1314.0,1436.0,1634.0,1787.0,1882.0,2104.0,2196.0,2269.0,2287.0,2371.0
job 2,72.0,185.0,355.0,411.0,504.0,611.0,677.0,686.0,700.0,758.0,832.0,1099.0,1148.0,1232.0,1282.0,1318.0,1517.0,1609.0,1667.0,1706.0
job 3,9.0,161.0,224.0,281.0,364.0,644.0,737.0,881.0,939.0,947.0,1373.0,1525.0,1678.0,1793.0,1921.0,1970.0,2092.0,2104.0,2151.0,2210.0
job 4,170.0,250.0,318.0,431.0,507.0,560.0,712.0,777.0,823.0,926.0,1050.0,1354.0,1406.0,1504.0,1526.0,1634.0,1733.0,1842.0,1954.0,1988.0
job 5,0.0,56.0,129.0,218.0,237.0,579.0,669.0,702.0,755.0,823.0,993.0,1087.0,1264.0,1348.0,1385.0,1473.0,1712.0,1768.0,1864.0,1874.0
job 6,2.0,65.0,114.0,287.0,381.0,602.0,824.0,924.0,1132.0,1175.0,1206.0,1234.0,1394.0,1514.0,1589.0,1646.0,1685.0,1775.0,1861.0,1874.0
job 7,0.0,58.0,194.0,440.0,450.0,536.0,691.0,716.0,807.0,975.0,1172.0,1248.0,1424.0,1602.0,1763.0,1939.0,2008.0,2042.0,2151.0,2279.0
job 8,0.0,117.0,156.0,290.0,354.0,598.0,716.0,771.0,897.0,989.0,1022.0,1258.0,1321.0,1427.0,1483.0,1606.0,1681.0,1729.0,1736.0,1856.0
job 9,39.0,161.0,339.0,396.0,466.0,551.0,635.0,820.0,832.0,909.0,1024.0,1099.0,1211.0,1264.0,1314.0,1415.0,1474.0,1500.0,1687.0,1746.0
job 10,94.0,234.0,318.0,380.0,464.0,516.0,649.0,678.0,710.0,849.0,924.0,1206.0,1321.0,1384.0,1422.0,1427.0,1607.0,1775.0,1793.0,1951.0
job 11,0.0,132.0,161.0,223.0,396.0,448.0,537.0,585.0,771.0,839.0,920.0,1311.0,1422.0,1616.0,1694.0,2100.0,2129.0,2198.0,2345.0,2438.0
job 12,34.0,182.0,266.0,610.0,664.0,790.0,874.0,880.0,947.0,1237.0,1318.0,1557.0,1616.0,1831.0,2037.0,2196.0,2258.0,2323.0,2371.0,2407.0
job 13,33.0,94.0,231.0,368.0,464.0,630.0,745.0,954.0,989.0,1195.0,1258.0,1394.0,1604.0,1685.0,1692.0,1709.0,1915.0,2101.0,2110.0,2291.0
job 14,126.0,218.0,336.0,507.0,602.0,820.0,904.0,929.0,982.0,1056.0,1138.0,1257.0,1354.0,1436.0,1508.0,1585.0,1696.0,1770.0,1999.0,2026.0
job 15,81.0,193.0,277.0,460.0,777.0,811.0,909.0,1092.0,1130.0,1440.0,1517.0,1518.0,1545.0,1871.0,1979.0,1980.0,2048.0,2131.0,2164.0,2262.0
job 16,0.0,116.0,308.0,369.0,525.0,598.0,685.0,805.0,846.0,914.0,1143.0,1211.0,1667.0,1740.0,1775.0,1883.0,1987.0,1988.0,2063.0,2124.0
job 17,0.0,67.0,130.0,151.0,229.0,283.0,475.0,512.0,669.0,718.0,727.0,929.0,1124.0,1471.0,1473.0,1526.0,1593.0,1736.0,1834.0,1871.0
job 18,0.0,102.0,328.0,379.0,505.0,583.0,703.0,707.0,724.0,852.0,950.0,998.0,1130.0,1172.0,1393.0,1617.0,1630.0,1837.0,1881.0,1891.0
job 19,0.0,213.0,287.0,351.0,504.0,601.0,668.0,998.0,1056.0,1146.0,1427.0,1489.0,1503.0,1514.0,1572.0,1746.0,1902.0,1915.0,2048.0,2172.0
job 20,0.0,174.0,254.0,390.0,583.0,724.0,805.0,1028.0,1050.0,1085.0,1348.0,1506.0,1670.0,1864.0,1954.0,2023.0,2259.0,2287.0,2359.0,2368.0
job 21,0.0,396.0,566.0,795.0,881.0,946.0,1066.0,1082.0,1303.0,1334.0,1495.0,1556.0,1671.0,1678.0,1692.0,1874.0,1970.0,2038.0,2067.0,2212.0
job 22,33.0,159.0,354.0,477.0,537.0,737.0,824.0,849.0,1035.0,1298.0,1467.0,1570.0,1646.0,1706.0,1804.0,1930.0,2000.0,2323.0,2407.0,2438.0
job 23,0.0,254.0,347.0,414.0,505.0,551.0,813.0,828.0,870.0,1212.0,1237.0,1247.0,1309.0,1404.0,1630.0,1670.0,1970.0,2041.0,2183.0,2326.0
job 24,0.0,65.0,281.0,414.0,505.0,597.0,664.0,689.0,693.0,1034.0,1087.0,1199.0,1473.0,1495.0,1519.0,1545.0,1572.0,1727.0,1825.0,2000.0
job 25,0.0,9.0,124.0,156.0,396.0,551.0,617.0,707.0,852.0,950.0,954.0,1028.0,1163.0,1391.0,1671.0,1834.0,1958.0,2052.0,2198.0,2333.0
job 26,67.0,160.0,255.0,343.0,367.0,685.0,758.0,980.0,1076.0,1138.0,1211.0,1303.0,1585.0,1654.0,2110.0,2116.0,2158.0,2172.0,2232.0,2250.0
job 27,26.0,250.0,380.0,516.0,662.0,832.0,962.0,1247.0,1484.0,1529.0,1585.0,1692.0,1775.0,1849.0,1919.0,2142.0,2217.0,2384.0,2459.0,2487.0
job 28,0.0,151.0,234.0,329.0,453.0,560.0,599.0,697.0,762.0,820.0,874.0,920.0,1030.0,1260.0,1385.0,1504.0,1557.0,1634.0,1706.0,1874.0
job 29,0.0,81.0,159.0,192.0,344.0,368.0,448.0,569.0,811.0,852.0,1050.0,1147.0,1191.0,1371.0,1501.0,1585.0,1962.0,1999.0,2023.0,2131.0
