makespan,2426.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,0.0,104.0,125.0,255.0,334.0,456.0,522.0,557.0,765.0,875.0,1016.0,1071.0,1295.0,1370.0,1678.0,1755.0,1938.0,2007.0,2092.0,2160.0
job 1,0.0,120.0,228.0,489.0,614.0,667.0,789.0,841.0,898.0,1098.0,1249.0,1314.0,1448.0,1534.0,1615.0,1628.0,1711.0,2135.0,2175.0,2267.0
job 2,44.0,161.0,426.0,613.0,710.0,796.0,816.0,901.0,989.0,1107.0,1197.0,1237.0,1382.0,1538.0,1773.0,1862.0,2130.0,2207.0,2232.0,2303.0
job 3,0.0,90.0,352.0,726.0,771.0,857.0,917.0,948.0,1063.0,1320.0,1616.0,1666.0,1814.0,1968.0,2092.0,2184.0,2265.0,2320.0,2379.0,2400.0
job 4,78.0,209.0,266.0,447.0,637.0,663.0,764.0,855.0,902.0,983.0,1101.0,1268.0,1282.0,1356.0,1517.0,1680.0,1845.0,1966.0,2041.0,2101.0
job 5,34.0,172.0,248.0,280.0,386.0,575.0,709.0,861.0,943.0,1195.0,1290.0,1330.0,1494.0,1510.0,1693.0,1805.0,1872.0,1938.0,1961.0,2052.0
job 6,82.0,300.0,435.0,557.0,626.0,670.0,766.0,902.0,1093.0,1140.0,1202.0,1330.0,1497.0,1594.0,1659.0,1714.0,1827.0,1863.0,2007.0,2082.0
job 7,13.0,102.0,294.0,352.0,386.0,471.0,548.0,557.0,627.0,852.0,895.0,1009.0,1063.0,1394.0,1552.0,1609.0,1659.0,1759.0,1826.0,2019.0
job 8,65.0,519.0,684.0,714.0,773.0,816.0,898.0,1074.0,1181.0,1230.0,1321.0,1375.0,1547.0,1667.0,1853.0,2064.0,2135.0,2185.0,2333.0,2355.0
job 9,0.0,52.0,104.0,110.0,131.0,233.0,368.0,447.0,591.0,614.0,620.0,647.0,654.0,876.0,1043.0,1115.0,1160.0,1162.0,1412.0,1416.0
job 10,0.0,204.0,340.0,570.0,579.0,621.0,749.0,870.0,993.0,1187.0,1268.0,1296.0,1333.0,1491.0,1569.0,1582.0,1583.0,1616.0,1634.0,1685.0
job 11,0.0,69.0,145.0,604.0,686.0,687.0,838.0,1030.0,1130.0,1279.0,1320.0,1497.0,1533.0,1714.0,1806.0,1900.0,1961.0,2019.0,2061.0,2333.0
job 12,125.0,254.0,340.0,361.0,438.0,512.0,528.0,670.0,765.0,774.0,803.0,1136.0,1312.0,1407.0,1497.0,1512.0,1534.0,1582.0,1667.0,1788.0
job 13,0.0,110.0,262.0,358.0,438.0,533.0,710.0,739.0,772.0,863.0,981.0,1018.0,1059.0,1194.0,1237.0,1295.0,1525.0,1635.0,1691.0,1881.0
job 14,0.0,24.0,82.0,200.0,347.0,812.0,876.0,969.0,1017.0,1018.0,1108.0,1222.0,1407.0,1614.0,1687.0,1714.0,1848.0,1935.0,1968.0,2214.0
job 15,1.0,70.0,348.0,422.0,432.0,490.0,557.0,693.0,896.0,1058.0,1162.0,1341.0,1458.0,1471.0,1647.0,1897.0,2128.0,2160.0,2251.0,2260.0
job 16,160.0,255.0,344.0,439.0,490.0,606.0,625.0,719.0,739.0,772.0,828.0,904.0,1051.0,1145.0,1216.0,1347.0,1403.0,1416.0,1507.0,1755.0
job 17,0.0,271.0,499.0,627.0,709.0,796.0,859.0,879.0,892.0,898.0,1082.0,1118.0,1130.0,1140.0,1170.0,1202.0,1320.0,1472.0,1597.0,1683.0
job 18,0.0,28.0,153.0,294.0,345.0,579.0,760.0,791.0,912.0,989.0,1196.0,1279.0,1482.0,1556.0,1614.0,1658.0,1711.0,1751.0,1881.0,1952.0
