makespan,2470.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,0.0,11.0,45.0,126.0,282.0,489.0,581.0,650.0,743.0,896.0,921.0,1144.0,1197.0,1231.0,1285.0,1318.0,1753.0,1959.0,2114.0,2171.0
job 1,33.0,260.0,340.0,480.0,515.0,652.0,748.0,825.0,873.0,1135.0,1197.0,1294.0,1337.0,1412.0,1503.0,1578.0,1635.0,1778.0,1922.0,2294.0
job 2,0.0,2.0,201.0,266.0,282.0,512.0,622.0,697.0,785.0,973.0,1110.0,1184.0,1558.0,1902.0,1997.0,2111.0,2206.0,2280.0,2302.0,2315.0
job 3,2.0,191.0,260.0,338.0,353.0,528.0,649.0,748.0,906.0,980.0,1033.0,1252.0,1319.0,1382.0,1578.0,1686.0,1733.0,1766.0,1854.0,1925.0
job 4,17.0,92.0,120.0,201.0,454.0,602.0,622.0,631.0,793.0,884.0,1131.0,1227.0,1464.0,1700.0,1763.0,1829.0,1925.0,2116.0,2200.0,2246.0
job 5,0.0,166.0,239.0,282.0,387.0,462.0,596.0,600.0,687.0,940.0,1020.0,1025.0,1063.0,1077.0,1202.0,1446.0,1827.0,1979.0,2030.0,2113.0
job 6,0.0,49.0,98.0,126.0,237.0,263.0,377.0,826.0,919.0,938.0,1374.0,1642.0,1997.0,2073.0,2095.0,2104.0,2116.0,2252.0,2304.0,2343.0
job 7,0.0,25.0,134.0,192.0,419.0,631.0,776.0,840.0,911.0,1142.0,1214.0,1236.0,1240.0,1621.0,1764.0,1869.0,1908.0,1916.0,1944.0,2014.0
job 8,0.0,99.0,167.0,290.0,340.0,553.0,643.0,719.0,829.0,924.0,1077.0,1209.0,1252.0,1305.0,1650.0,1730.0,1774.0,1837.0,2014.0,2111.0
job 9,7.0,18.0,112.0,243.0,267.0,274.0,318.0,653.0,778.0,915.0,985.0,1239.0,1423.0,1475.0,1528.0,1680.0,1750.0,1882.0,1950.0,2246.0
job 10,0.0,67.0,221.0,368.0,438.0,626.0,760.0,783.0,866.0,1090.0,1138.0,1240.0,1330.0,1421.0,1566.0,1677.0,1802.0,1829.0,2142.0,2188.0
job 11,0.0,50.0,85.0,120.0,212.0,290.0,342.0,432.0,479.0,511.0,550.0,594.0,664.0,730.0,896.0,972.0,1155.0,1353.0,1523.0,1612.0
job 12,0.0,98.0,121.0,192.0,298.0,342.0,489.0,512.0,535.0,605.0,1000.0,1064.0,1090.0,1232.0,1336.0,1412.0,1721.0,1802.0,1937.0,2169.0
job 13,0.0,85.0,178.0,352.0,438.0,492.0,515.0,615.0,730.0,761.0,774.0,872.0,960.0,1112.0,1283.0,1353.0,1471.0,1503.0,1541.0,1626.0
job 14,0.0,141.0,178.0,215.0,316.0,438.0,480.0,801.0,920.0,1123.0,1347.0,1421.0,1479.0,1495.0,1780.0,1950.0,2002.0,2044.0,2129.0,2200.0
job 15,16.0,122.0,203.0,267.0,318.0,378.0,381.0,388.0,479.0,553.0,803.0,829.0,1006.0,1027.0,1294.0,1388.0,1430.0,1440.0,1485.0,1491.0
job 16,0.0,84.0,141.0,266.0,433.0,540.0,656.0,743.0,778.0,948.0,963.0,1086.0,1183.0,1284.0,1292.0,1324.0,1342.0,1680.0,1753.0,1821.0
job 17,6.0,54.0,113.0,221.0,284.0,444.0,511.0,513.0,550.0,600.0,650.0,677.0,999.0,1195.0,1283.0,1330.0,1603.0,1782.0,1835.0,1945.0
