run,pdr,instance,makespan,runtime
0,FIFO_SPT,Behnke1.fjs,116,0.0205782175064086
1,FIFO_SPT,Behnke1.fjs,116,0.0205782175064086
2,FIFO_SPT,Behnke1.fjs,116,0.0205782175064086
3,FIFO_SPT,Behnke1.fjs,116,0.0205782175064086
4,FIFO_SPT,Behnke1.fjs,116,0.0205782175064086
5,FIFO_SPT,Behnke1.fjs,116,0.0205782175064086
6,FIFO_SPT,Behnke1.fjs,116,0.0205782175064086
7,FIFO_SPT,Behnke1.fjs,116,0.0205782175064086
8,FIFO_SPT,Behnke1.fjs,116,0.0205782175064086
9,FIFO_SPT,Behnke1.fjs,116,0.0205782175064086
0,FIFO_EET,Behnke1.fjs,248,0.0211779117584228
1,FIFO_EET,Behnke1.fjs,248,0.0211779117584228
2,FIFO_EET,Behnke1.fjs,248,0.0211779117584228
3,FIFO_EET,Behnke1.fjs,248,0.0211779117584228
4,FIFO_EET,Behnke1.fjs,248,0.0211779117584228
5,FIFO_EET,Behnke1.fjs,248,0.0211779117584228
6,FIFO_EET,Behnke1.fjs,248,0.0211779117584228
7,FIFO_EET,Behnke1.fjs,248,0.0211779117584228
8,FIFO_EET,Behnke1.fjs,248,0.0211779117584228
9,FIFO_EET,Behnke1.fjs,248,0.0211779117584228
0,MOPNR_SPT,Behnke1.fjs,125,0.0208402156829833
1,MOPNR_SPT,Behnke1.fjs,125,0.0208402156829833
2,MOPNR_SPT,Behnke1.fjs,125,0.0208402156829833
3,MOPNR_SPT,Behnke1.fjs,125,0.0208402156829833
4,MOPNR_SPT,Behnke1.fjs,125,0.0208402156829833
5,MOPNR_SPT,Behnke1.fjs,125,0.0208402156829833
6,MOPNR_SPT,Behnke1.fjs,125,0.0208402156829833
7,MOPNR_SPT,Behnke1.fjs,125,0.0208402156829833
8,MOPNR_SPT,Behnke1.fjs,125,0.0208402156829833
9,MOPNR_SPT,Behnke1.fjs,125,0.0208402156829833
0,MOPNR_EET,Behnke1.fjs,325,0.0195414066314697
1,MOPNR_EET,Behnke1.fjs,325,0.0195414066314697
