seed,model,instance,load_factor,makespan,runtime
8,SavedNetwork/30_15_1_99.pth,abz5.txt,1,1447.0,4.940436124801636
9,SavedNetwork/30_15_1_99.pth,abz5.txt,1,1386.0,3.784007787704468
8,SavedNetwork/30_15_1_99.pth,abz6.txt,1,1137.0,3.829132080078125
9,SavedNetwork/30_15_1_99.pth,abz6.txt,1,1154.0,3.855319023132324
8,SavedNetwork/30_15_1_99.pth,abz7.txt,1,860.0,21.58930015563965
9,SavedNetwork/30_15_1_99.pth,abz7.txt,1,987.0,16.65500783920288
8,SavedNetwork/30_15_1_99.pth,abz8.txt,1,905.0,20.799903869628903
9,SavedNetwork/30_15_1_99.pth,abz8.txt,1,991.0,15.575749158859251
8,SavedNetwork/30_15_1_99.pth,abz9.txt,1,924.0,21.35515117645264
9,SavedNetwork/30_15_1_99.pth,abz9.txt,1,980.0,16.490843772888184
8,SavedNetwork/30_15_1_99.pth,dmu01.txt,1,3766.0,21.57699584960937
9,SavedNetwork/30_15_1_99.pth,dmu01.txt,1,3966.0,16.717304944992065
8,SavedNetwork/30_15_1_99.pth,dmu02.txt,1,3728.0,22.04596590995789
9,SavedNetwork/30_15_1_99.pth,dmu02.txt,1,4233.0,17.016456842422485
8,SavedNetwork/30_15_1_99.pth,dmu03.txt,1,3675.0,22.13991904258728
9,SavedNetwork/30_15_1_99.pth,dmu03.txt,1,4185.0,17.579609155654907
8,SavedNetwork/30_15_1_99.pth,dmu04.txt,1,3939.0,20.742021799087524
9,SavedNetwork/30_15_1_99.pth,dmu04.txt,1,4330.0,16.412487983703613
8,SavedNetwork/30_15_1_99.pth,dmu05.txt,1,3573.0,21.41780924797058
9,SavedNetwork/30_15_1_99.pth,dmu05.txt,1,4379.0,17.036185264587402
8,SavedNetwork/30_15_1_99.pth,dmu06.txt,1,4561.0,29.571451902389526
9,SavedNetwork/30_15_1_99.pth,dmu06.txt,1,4989.0,25.762432098388672
8,SavedNetwork/30_15_1_99.pth,dmu07.txt,1,4001.0,30.4099760055542
9,SavedNetwork/30_15_1_99.pth,dmu07.txt,1,4983.0,25.478689193725582
8,SavedNetwork/30_15_1_99.pth,dmu08.txt,1,4381.0,30.277640104293823
9,SavedNetwork/30_15_1_99.pth,dmu08.txt,1,5045.0,25.44914293289185
8,SavedNetwork/30_15_1_99.pth,dmu09.txt,1,4413.0,29.49436902999878
9,SavedNetwork/30_15_1_99.pth,dmu09.txt,1,4509.0,23.873512983322144
8,SavedNetwork/30_15_1_99.pth,dmu10.txt,1,4105.0,29.711297035217285
9,SavedNetwork/30_15_1_99.pth,dmu10.txt,1,5361.0,23.884611129760746
8,SavedNetwork/30_15_1_99.pth,dmu11.txt,1,4908.0,45.960965156555176
9,SavedNetwork/30_15_1_99.pth,dmu11.txt,1,5376.0,34.52049398422241
8,SavedNetwork/30_15_1_99.pth,dmu12.txt,1,5542.0,46.305195808410645
9,SavedNetwork/30_15_1_99.pth,dmu12.txt,1,5479.0,35.60858082771301
8,SavedNetwork/30_15_1_99.pth,dmu13.txt,1,5201.0,47.08073782920837
9,SavedNetwork/30_15_1_99.pth,dmu13.txt,1,5353.0,36.07421088218689
8,SavedNetwork/30_15_1_99.pth,dmu14.txt,1,4274.0,46.70632863044739
9,SavedNetwork/30_15_1_99.pth,dmu14.txt,1,5142.0,34.93672490119934
8,SavedNetwork/30_15_1_99.pth,dmu15.txt,1,4934.0,46.84925675392151
9,SavedNetwork/30_15_1_99.pth,dmu15.txt,1,4993.0,34.562142848968506
8,SavedNetwork/30_15_1_99.pth,dmu16.txt,1,5624.0,69.01011300086975
9,SavedNetwork/30_15_1_99.pth,dmu16.txt,1,5693.0,57.54480719566345
8,SavedNetwork/30_15_1_99.pth,dmu17.txt,1,5698.0,69.57759809494019
9,SavedNetwork/30_15_1_99.pth,dmu17.txt,1,6055.0,56.2082781791687
8,SavedNetwork/30_15_1_99.pth,dmu18.txt,1,5688.0,70.49240779876709
9,SavedNetwork/30_15_1_99.pth,dmu18.txt,1,5560.0,56.19315505027771
8,SavedNetwork/30_15_1_99.pth,dmu19.txt,1,5143.0,69.58735203742981
9,SavedNetwork/30_15_1_99.pth,dmu19.txt,1,5907.0,56.827577114105225
8,SavedNetwork/30_15_1_99.pth,dmu20.txt,1,5145.0,69.19614315032959
9,SavedNetwork/30_15_1_99.pth,dmu20.txt,1,5736.0,53.94043588638306
8,SavedNetwork/30_15_1_99.pth,dmu21.txt,1,5600.0,90.34238195419312
9,SavedNetwork/30_15_1_99.pth,dmu21.txt,1,5356.0,77.82374501228333
8,SavedNetwork/30_15_1_99.pth,dmu22.txt,1,5851.0,93.91214275360107
