seed,model,instance,load_factor,makespan,runtime
8,SavedNetwork/20_15_1_199.pth,abz5.txt,1,1423.0,4.055411100387573
9,SavedNetwork/20_15_1_199.pth,abz5.txt,1,1408.0,3.784214735031128
8,SavedNetwork/20_15_1_199.pth,abz6.txt,1,1087.0,3.663316249847412
9,SavedNetwork/20_15_1_199.pth,abz6.txt,1,1092.0,3.8683550357818604
8,SavedNetwork/20_15_1_199.pth,abz7.txt,1,836.0,21.03400421142578
9,SavedNetwork/20_15_1_199.pth,abz7.txt,1,953.0,16.13012194633484
8,SavedNetwork/20_15_1_199.pth,abz8.txt,1,910.0,20.531625032424927
9,SavedNetwork/20_15_1_199.pth,abz8.txt,1,1066.0,16.313199043273926
8,SavedNetwork/20_15_1_199.pth,abz9.txt,1,919.0,21.049222946166992
9,SavedNetwork/20_15_1_199.pth,abz9.txt,1,1031.0,17.627257108688354
8,SavedNetwork/20_15_1_199.pth,dmu01.txt,1,3714.0,21.41401720046997
9,SavedNetwork/20_15_1_199.pth,dmu01.txt,1,4189.0,16.98226809501648
8,SavedNetwork/20_15_1_199.pth,dmu02.txt,1,3759.0,21.6682391166687
9,SavedNetwork/20_15_1_199.pth,dmu02.txt,1,4207.0,17.1443030834198
8,SavedNetwork/20_15_1_199.pth,dmu03.txt,1,3820.0,22.304572820663452
9,SavedNetwork/20_15_1_199.pth,dmu03.txt,1,3986.0,17.16462802886963
8,SavedNetwork/20_15_1_199.pth,dmu04.txt,1,3552.0,20.90100908279419
9,SavedNetwork/20_15_1_199.pth,dmu04.txt,1,3968.0,16.10631513595581
8,SavedNetwork/20_15_1_199.pth,dmu05.txt,1,4022.0,21.224716901779175
9,SavedNetwork/20_15_1_199.pth,dmu05.txt,1,4112.0,17.393064975738525
8,SavedNetwork/20_15_1_199.pth,dmu06.txt,1,4630.0,29.5524959564209
9,SavedNetwork/20_15_1_199.pth,dmu06.txt,1,4735.0,25.26936101913452
8,SavedNetwork/20_15_1_199.pth,dmu07.txt,1,4063.0,30.141669988632202
9,SavedNetwork/20_15_1_199.pth,dmu07.txt,1,4717.0,25.5450918674469
8,SavedNetwork/20_15_1_199.pth,dmu08.txt,1,3979.0,29.825631856918335
9,SavedNetwork/20_15_1_199.pth,dmu08.txt,1,4874.0,25.4072163105011
8,SavedNetwork/20_15_1_199.pth,dmu09.txt,1,4470.0,29.545802116394043
9,SavedNetwork/20_15_1_199.pth,dmu09.txt,1,4301.0,23.650275945663452
8,SavedNetwork/20_15_1_199.pth,dmu10.txt,1,3998.0,29.544926166534424
9,SavedNetwork/20_15_1_199.pth,dmu10.txt,1,4592.0,23.979573011398315
8,SavedNetwork/20_15_1_199.pth,dmu11.txt,1,4695.0,45.8212628364563
9,SavedNetwork/20_15_1_199.pth,dmu11.txt,1,5166.0,33.98113012313843
8,SavedNetwork/20_15_1_199.pth,dmu12.txt,1,5575.0,46.11339712142944
9,SavedNetwork/20_15_1_199.pth,dmu12.txt,1,5429.0,35.64526295661926
8,SavedNetwork/20_15_1_199.pth,dmu13.txt,1,4776.0,46.50166916847229
