makespan,3027.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,0.0,109.0,178.0,375.0,501.0,527.0,540.0,970.0,982.0,1155.0,1372.0,1590.0,1725.0,1956.0,1976.0,1996.0,2195.0,2397.0,2509.0,2584.0
job 1,0.0,68.0,290.0,451.0,486.0,533.0,634.0,653.0,698.0,730.0,765.0,992.0,1031.0,1104.0,1157.0,1261.0,1328.0,1513.0,1575.0,1580.0
job 2,0.0,29.0,329.0,356.0,655.0,697.0,828.0,1127.0,1285.0,1412.0,1547.0,1686.0,1721.0,1874.0,2158.0,2235.0,2260.0,2332.0,2396.0,2641.0
job 3,0.0,72.0,393.0,637.0,760.0,1021.0,1084.0,1235.0,1610.0,1740.0,1830.0,1847.0,1870.0,1926.0,2019.0,2373.0,2598.0,2676.0,2750.0,2861.0
job 4,0.0,60.0,127.0,153.0,166.0,200.0,530.0,626.0,747.0,1045.0,1127.0,1220.0,1320.0,1571.0,1648.0,1658.0,1899.0,2114.0,2125.0,2198.0
job 5,29.0,88.0,121.0,331.0,371.0,390.0,533.0,561.0,620.0,747.0,830.0,900.0,1244.0,1330.0,1389.0,1515.0,1549.0,1693.0,1717.0,1756.0
job 6,23.0,60.0,152.0,281.0,519.0,579.0,697.0,774.0,972.0,1211.0,1467.0,1503.0,1701.0,1740.0,1921.0,2008.0,2422.0,2507.0,2600.0,2857.0
job 7,59.0,356.0,451.0,540.0,567.0,753.0,965.0,992.0,1151.0,1295.0,1369.0,1502.0,1742.0,1839.0,2125.0,2327.0,2397.0,2472.0,2625.0,2709.0
job 8,31.0,190.0,260.0,706.0,1107.0,1198.0,1242.0,1336.0,1402.0,1523.0,1738.0,1890.0,2111.0,2191.0,2501.0,2502.0,2845.0,2901.0,2916.0,2925.0
job 9,11.0,72.0,178.0,250.0,259.0,498.0,816.0,1007.0,1261.0,1268.0,1278.0,1285.0,1503.0,1549.0,1556.0,1746.0,1838.0,1884.0,1967.0,2251.0
job 10,259.0,376.0,449.0,534.0,874.0,1031.0,1157.0,1235.0,1416.0,1560.0,1686.0,1782.0,1892.0,2024.0,2126.0,2507.0,2615.0,2688.0,2713.0,2782.0
job 11,165.0,413.0,621.0,717.0,794.0,996.0,1052.0,1059.0,1341.0,1505.0,1579.0,1660.0,1858.0,1882.0,1948.0,2024.0,2122.0,2182.0,2468.0,2548.0
job 12,2.0,200.0,362.0,411.0,467.0,532.0,1013.0,1106.0,1151.0,1264.0,1437.0,1743.0,1860.0,2119.0,2208.0,2251.0,2332.0,2354.0,2436.0,2502.0
job 13,201.0,290.0,618.0,706.0,755.0,942.0,1107.0,1241.0,1313.0,1372.0,1420.0,1453.0,1572.0,1689.0,1713.0,1803.0,1860.0,1949.0,2074.0,2158.0
job 14,68.0,166.0,528.0,618.0,620.0,673.0,810.0,1081.0,1353.0,1472.0,1546.0,1675.0,1770.0,1971.0,2066.0,2102.0,2117.0,2129.0,2138.0,2206.0
job 15,0.0,12.0,190.0,279.0,435.0,626.0,735.0,869.0,1198.0,1254.0,1264.0,1575.0,1847.0,2289.0,2364.0,2373.0,2408.0,2470.0,2499.0,2593.0
job 16,119.0,188.0,190.0,304.0,356.0,413.0,420.0,435.0,489.0,824.0,1035.0,1242.0,1331.0,1472.0,1610.0,1688.0,1782.0,1856.0,1874.0,2055.0
