makespan,3145.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,45.0,110.0,147.0,277.0,426.0,449.0,500.0,565.0,707.0,806.0,901.0,1025.0,1129.0,1267.0,1446.0,1534.0,1773.0,2234.0,2413.0,2444.0
job 1,0.0,73.0,258.0,327.0,410.0,500.0,699.0,981.0,1047.0,1312.0,1380.0,1400.0,1427.0,1656.0,1738.0,1768.0,1868.0,2074.0,2164.0,2530.0
job 2,0.0,37.0,118.0,266.0,418.0,484.0,661.0,809.0,1083.0,1163.0,1204.0,1492.0,1578.0,1581.0,1586.0,1870.0,1936.0,2511.0,2515.0,2542.0
job 3,0.0,456.0,551.0,845.0,940.0,970.0,1179.0,1489.0,1656.0,1731.0,2164.0,2244.0,2249.0,2282.0,2415.0,2716.0,2757.0,2777.0,2863.0,2928.0
job 4,0.0,62.0,262.0,355.0,509.0,546.0,787.0,875.0,1021.0,1047.0,1104.0,1204.0,1253.0,1284.0,1328.0,1495.0,1592.0,1793.0,1959.0,2053.0
job 5,191.0,240.0,484.0,509.0,532.0,640.0,726.0,1010.0,1131.0,1504.0,1639.0,2053.0,2241.0,2544.0,2627.0,2685.0,2781.0,2818.0,2909.0,2972.0
job 6,0.0,121.0,153.0,180.0,338.0,386.0,598.0,616.0,669.0,759.0,827.0,859.0,874.0,970.0,1021.0,1236.0,1682.0,1752.0,1793.0,1824.0
job 7,8.0,20.0,86.0,147.0,330.0,349.0,413.0,550.0,699.0,849.0,940.0,1183.0,1259.0,1405.0,1526.0,1645.0,1711.0,1898.0,1988.0,2487.0
job 8,29.0,96.0,327.0,463.0,520.0,543.0,589.0,688.0,765.0,815.0,963.0,1010.0,1176.0,1231.0,1278.0,1435.0,1581.0,1733.0,2015.0,2112.0
job 9,247.0,330.0,447.0,547.0,722.0,1063.0,1139.0,1160.0,1172.0,1336.0,1490.0,1572.0,1739.0,1825.0,1899.0,1989.0,2015.0,2078.0,2351.0,2413.0
job 10,0.0,139.0,144.0,192.0,204.0,266.0,373.0,443.0,607.0,844.0,1045.0,1400.0,1496.0,1846.0,2053.0,2277.0,2351.0,2415.0,2603.0,2685.0
job 11,0.0,10.0,16.0,370.0,456.0,539.0,875.0,971.0,1034.0,1163.0,1259.0,1278.0,1306.0,1578.0,1692.0,1834.0,2125.0,2213.0,2250.0,2346.0
job 12,32.0,61.0,452.0,551.0,784.0,898.0,1061.0,1187.0,1254.0,1599.0,1682.0,1866.0,1917.0,1939.0,2023.0,2076.0,2515.0,2525.0,2818.0,2829.0
job 13,1.0,240.0,302.0,332.0,510.0,632.0,860.0,944.0,962.0,1026.0,1124.0,1380.0,1452.0,1738.0,1815.0,1909.0,2469.0,2513.0,2685.0,2760.0
job 14,9.0,204.0,258.0,303.0,329.0,422.0,469.0,573.0,640.0,661.0,691.0,733.0,875.0,1166.0,1243.0,1452.0,1554.0,2053.0,2162.0,2234.0
job 15,179.0,274.0,332.0,338.0,535.0,595.0,804.0,844.0,901.0,1210.0,1272.0,1471.0,1526.0,1614.0,2069.0,2074.0,2114.0,2334.0,2444.0,2478.0
job 16,27.0,410.0,510.0,574.0,711.0,848.0,895.0,1247.0,1320.0,1592.0,1677.0,1734.0,1795.0,1903.0,1930.0,2018.0,2074.0,2121.0,2253.0,2513.0
job 17,110.0,198.0,449.0,542.0,632.0,842.0,961.0,1254.0,1284.0,1364.0,1500.0,1840.0,2034.0,2139.0,2428.0,2542.0,2706.0,2883.0,2909.0,2988.0
job 18,278.0,520.0,595.0,680.0,807.0,984.0,1026.0,1071.0,1239.0,1478.0,1775.0,1863.0,1903.0,2112.0,2160.0,2244.0,2370.0,2467.0,2511.0,2590.0
