makespan,2885.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,85.0,166.0,584.0,735.0,1137.0,1199.0,1211.0,1290.0,1327.0,1361.0,1380.0,1387.0,1535.0,1624.0,1724.0,1878.0,1989.0,2196.0,2212.0,2328.0
job 1,0.0,96.0,138.0,408.0,682.0,983.0,994.0,1021.0,1071.0,1191.0,1270.0,1281.0,1292.0,1295.0,1319.0,1633.0,1713.0,1805.0,1894.0,1970.0
job 2,0.0,235.0,254.0,324.0,396.0,514.0,602.0,797.0,922.0,1113.0,1200.0,1539.0,1623.0,1686.0,1693.0,1701.0,1764.0,1876.0,2077.0,2341.0
job 3,30.0,281.0,384.0,576.0,860.0,954.0,957.0,1063.0,1092.0,1439.0,1726.0,1942.0,1958.0,2010.0,2224.0,2387.0,2477.0,2627.0,2689.0,2747.0
job 4,0.0,14.0,88.0,184.0,347.0,499.0,561.0,793.0,1002.0,1083.0,1146.0,1149.0,1340.0,1455.0,1686.0,1748.0,1856.0,1989.0,2032.0,2039.0
job 5,0.0,63.0,188.0,213.0,292.0,404.0,618.0,686.0,757.0,1303.0,1345.0,1487.0,1539.0,1618.0,1692.0,2001.0,2130.0,2217.0,2259.0,2329.0
job 6,0.0,213.0,325.0,505.0,525.0,618.0,668.0,954.0,1047.0,1063.0,1260.0,1336.0,1456.0,1484.0,1537.0,1554.0,1618.0,1640.0,1810.0,1902.0
job 7,250.0,340.0,523.0,783.0,853.0,889.0,1016.0,1108.0,1408.0,1641.0,1807.0,2010.0,2099.0,2160.0,2380.0,2445.0,2447.0,2528.0,2563.0,2788.0
job 8,19.0,68.0,97.0,240.0,335.0,502.0,621.0,731.0,739.0,750.0,873.0,992.0,1118.0,1375.0,1384.0,1640.0,1797.0,2062.0,2099.0,2242.0
job 9,0.0,94.0,145.0,486.0,584.0,767.0,808.0,819.0,1092.0,1103.0,1210.0,1280.0,1554.0,1639.0,1699.0,1771.0,1897.0,1979.0,2030.0,2080.0
job 10,0.0,131.0,197.0,254.0,433.0,855.0,950.0,971.0,1103.0,1316.0,1571.0,1593.0,1748.0,1767.0,1803.0,2052.0,2142.0,2224.0,2259.0,2328.0
job 11,0.0,8.0,119.0,199.0,436.0,609.0,707.0,880.0,923.0,983.0,1056.0,1074.0,1208.0,1380.0,1385.0,1425.0,1470.0,1614.0,1874.0,2039.0
job 12,0.0,3.0,145.0,249.0,276.0,292.0,658.0,704.0,792.0,797.0,929.0,1176.0,1260.0,1267.0,1275.0,1484.0,1561.0,1576.0,1819.0,2221.0
job 13,53.0,340.0,408.0,421.0,511.0,676.0,750.0,835.0,911.0,929.0,1155.0,1387.0,1451.0,1639.0,1787.0,1803.0,1843.0,1892.0,1912.0,2107.0
