makespan,tensor(2127.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,29.0,167.0,215.0,269.0,361.0,391.0,612.0,784.0,846.0,1001.0,1118.0,1188.0,1256.0,1270.0,1283.0,1709.0,1776.0,1836.0,1896.0,2022.0
job 1,156.0,194.0,326.0,470.0,544.0,552.0,651.0,726.0,821.0,943.0,987.0,1060.0,1061.0,1205.0,1644.0,1694.0,1809.0,1848.0,1918.0,2001.0
job 2,23.0,337.0,593.0,779.0,890.0,943.0,982.0,1040.0,1061.0,1125.0,1240.0,1312.0,1320.0,1323.0,1372.0,1726.0,1737.0,1820.0,1834.0,2082.0
job 3,0.0,93.0,226.0,236.0,359.0,377.0,461.0,507.0,586.0,704.0,929.0,1057.0,1095.0,1165.0,1320.0,1418.0,1545.0,1568.0,1687.0,1729.0
job 4,56.0,139.0,323.0,433.0,493.0,719.0,781.0,809.0,863.0,929.0,971.0,1061.0,1188.0,1286.0,1323.0,1406.0,1444.0,1553.0,1592.0,1645.0
job 5,0.0,188.0,258.0,296.0,394.0,452.0,511.0,570.0,691.0,693.0,732.0,809.0,842.0,1148.0,1218.0,1255.0,1341.0,1406.0,1482.0,1785.0
job 6,83.0,166.0,215.0,533.0,544.0,582.0,628.0,734.0,780.0,935.0,1000.0,1072.0,1125.0,1247.0,1337.0,1418.0,1565.0,1842.0,1905.0,1930.0
job 7,0.0,443.0,519.0,533.0,631.0,675.0,764.0,770.0,1054.0,1178.0,1323.0,1407.0,1485.0,1552.0,1673.0,1693.0,1785.0,1974.0,2048.0,2102.0
job 8,0.0,13.0,98.0,195.0,262.0,462.0,493.0,612.0,766.0,814.0,990.0,1054.0,1060.0,1176.0,1267.0,1331.0,1455.0,1837.0,1917.0,2033.0
job 9,0.0,102.0,196.0,264.0,344.0,396.0,449.0,576.0,702.0,713.0,910.0,1046.0,1138.0,1480.0,1563.0,1719.0,1751.0,1896.0,1898.0,1995.0
job 10,104.0,168.0,540.0,542.0,620.0,725.0,780.0,799.0,906.0,940.0,1000.0,1046.0,1095.0,1410.0,1485.0,1642.0,1732.0,1840.0,1921.0,1948.0
