makespan,3015.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,53.0,97.0,157.0,213.0,378.0,633.0,710.0,733.0,838.0,1018.0,1099.0,1363.0,1709.0,1759.0,1986.0,2224.0,2316.0,2590.0,2672.0,2720.0
job 1,0.0,397.0,479.0,627.0,686.0,719.0,741.0,821.0,852.0,978.0,1200.0,1304.0,1506.0,1782.0,1871.0,1922.0,2115.0,2356.0,2438.0,2654.0
job 2,0.0,203.0,434.0,502.0,574.0,672.0,740.0,926.0,1037.0,1122.0,1133.0,1298.0,1354.0,1587.0,1705.0,1850.0,2147.0,2241.0,2260.0,2287.0
job 3,48.0,246.0,589.0,730.0,869.0,1133.0,1213.0,1422.0,1520.0,1571.0,1587.0,1779.0,1909.0,1994.0,2063.0,2158.0,2218.0,2307.0,2387.0,2454.0
job 4,89.0,377.0,534.0,597.0,633.0,646.0,733.0,984.0,1156.0,1304.0,1491.0,1791.0,2034.0,2115.0,2159.0,2260.0,2292.0,2341.0,2431.0,2483.0
job 5,98.0,550.0,774.0,869.0,1024.0,1103.0,1354.0,1535.0,1596.0,1674.0,1844.0,1898.0,1952.0,2145.0,2158.0,2288.0,2500.0,2707.0,2739.0,2825.0
job 6,0.0,214.0,449.0,606.0,718.0,870.0,952.0,1097.0,1143.0,1253.0,1342.0,1478.0,1645.0,1691.0,1773.0,1856.0,1885.0,2036.0,2438.0,2476.0
job 7,0.0,278.0,364.0,399.0,411.0,502.0,604.0,809.0,838.0,995.0,1153.0,1274.0,1327.0,1342.0,1393.0,1414.0,1497.0,1596.0,1667.0,1668.0
job 8,0.0,8.0,146.0,214.0,566.0,589.0,614.0,633.0,687.0,911.0,1086.0,1330.0,1400.0,1588.0,2012.0,2106.0,2191.0,2288.0,2311.0,2383.0
job 9,88.0,332.0,554.0,806.0,1213.0,1310.0,1454.0,1690.0,2057.0,2334.0,2435.0,2498.0,2585.0,2639.0,2654.0,2693.0,2750.0,2805.0,2841.0,2931.0
job 10,37.0,287.0,377.0,415.0,571.0,840.0,1006.0,1059.0,1100.0,1236.0,1302.0,1347.0,1552.0,1777.0,1839.0,1926.0,2013.0,2134.0,2228.0,2739.0
job 11,251.0,399.0,646.0,918.0,1057.0,1070.0,1099.0,1310.0,1312.0,1350.0,1426.0,1573.0,1902.0,1983.0,2169.0,2310.0,2498.0,2590.0,2633.0,2655.0
job 12,0.0,302.0,423.0,597.0,653.0,740.0,774.0,789.0,1039.0,1329.0,1571.0,1648.0,1782.0,1836.0,2186.0,2259.0,2274.0,2310.0,2836.0,2864.0
job 13,8.0,19.0,99.0,253.0,324.0,585.0,798.0,859.0,912.0,1040.0,1071.0,1208.0,1341.0,1472.0,1557.0,1799.0,2027.0,2099.0,2145.0,2244.0
job 14,0.0,37.0,157.0,327.0,526.0,582.0,869.0,960.0,998.0,1018.0,1071.0,1150.0,1159.0,1414.0,1506.0,1662.0,1763.0,2013.0,2210.0,2383.0
job 15,49.0,153.0,475.0,632.0,790.0,915.0,995.0,1206.0,1312.0,1344.0,1401.0,1435.0,1520.0,1631.0,1648.0,1893.0,1958.0,2190.0,2244.0,2377.0
job 16,146.0,237.0,280.0,294.0,362.0,550.0,643.0,741.0,990.0,1039.0,1052.0,1074.0,1095.0,1101.0,1475.0,1573.0,1598.0,1668.0,1771.0,2018.0
job 17,0.0,386.0,513.0,733.0,826.0,870.0,1070.0,1100.0,1208.0,1403.0,1497.0,1573.0,1664.0,1731.0,1958.0,2036.0,2310.0,2387.0,2432.0,2437.0
job 18,0.0,54.0,150.0,203.0,294.0,555.0,628.0,669.0,719.0,892.0,937.0,1075.0,1212.0,1302.0,1311.0,1344.0,1419.0,1692.0,1792.0,1898.0
job 19,0.0,99.0,193.0,502.0,566.0,582.0,740.0,989.0,1095.0,1375.0,1552.0,1656.0,1752.0,1964.0,2034.0,2071.0,2120.0,2136.0,2186.0,2215.0
job 20,181.0,278.0,302.0,311.0,478.0,555.0,612.0,761.0,817.0,826.0,1061.0,1231.0,1430.0,1435.0,1677.0,1773.0,1779.0,1912.0,2106.0,2255.0
job 21,0.0,19.0,66.0,98.0,350.0,445.0,478.0,653.0,859.0,1059.0,1153.0,1280.0,1362.0,1454.0,1885.0,2226.0,2471.0,2527.0,2633.0,2668.0
job 22,0.0,66.0,153.0,193.0,240.0,457.0,554.0,710.0,1108.0,1206.0,1238.0,1254.0,1362.0,1378.0,1611.0,1692.0,1722.0,2121.0,2167.0,2292.0
job 23,0.0,382.0,434.0,467.0,517.0,537.0,576.0,650.0,718.0,784.0,1019.0,1143.0,1327.0,1613.0,1746.0,1792.0,1816.0,1952.0,2144.0,2241.0
job 24,76.0,146.0,393.0,565.0,637.0,724.0,762.0,850.0,979.0,1173.0,1274.0,1311.0,1330.0,1401.0,1454.0,1562.0,1611.0,1691.0,1759.0,1844.0
job 25,0.0,223.0,479.0,547.0,813.0,952.0,998.0,1131.0,1212.0,1231.0,1381.0,1615.0,1709.0,1746.0,1880.0,1912.0,1926.0,1989.0,2162.0,2169.0
job 26,0.0,47.0,125.0,299.0,350.0,532.0,624.0,784.0,859.0,880.0,969.0,1150.0,1454.0,1552.0,1845.0,2057.0,2147.0,2215.0,2349.0,2639.0
job 27,0.0,350.0,382.0,410.0,423.0,655.0,800.0,937.0,1159.0,1236.0,1254.0,1347.0,1520.0,1614.0,1839.0,1965.0,2077.0,2120.0,2121.0,2141.0
job 28,9.0,37.0,88.0,218.0,666.0,908.0,990.0,1256.0,1400.0,1528.0,1983.0,2018.0,2027.0,2476.0,2529.0,2571.0,2588.0,2655.0,2864.0,2877.0
job 29,100.0,237.0,282.0,286.0,373.0,401.0,471.0,502.0,626.0,691.0,768.0,880.0,977.0,1119.0,1173.0,1241.0,1422.0,1558.0,1766.0,1856.0
