makespan,3083.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,0.0,6.0,84.0,216.0,328.0,434.0,612.0,697.0,1191.0,1286.0,1318.0,1354.0,1446.0,1649.0,1728.0,1812.0,1821.0,2277.0,2314.0,2645.0
job 1,128.0,224.0,299.0,406.0,591.0,687.0,1064.0,1221.0,1493.0,1612.0,1698.0,1910.0,2006.0,2060.0,2130.0,2234.0,2263.0,2464.0,2627.0,2645.0
job 2,35.0,80.0,114.0,140.0,362.0,395.0,470.0,533.0,700.0,754.0,969.0,1167.0,1241.0,1475.0,1559.0,1700.0,1766.0,1811.0,1858.0,2097.0
job 3,106.0,178.0,187.0,375.0,523.0,685.0,821.0,1140.0,1161.0,1167.0,1265.0,1438.0,1465.0,1659.0,1738.0,1807.0,2027.0,2146.0,2247.0,2319.0
job 4,178.0,372.0,528.0,1002.0,1064.0,1075.0,1084.0,1465.0,1644.0,1741.0,1999.0,2234.0,2310.0,2312.0,2323.0,2354.0,2398.0,2537.0,2723.0,2759.0
job 5,0.0,323.0,616.0,713.0,891.0,907.0,954.0,1162.0,1253.0,1381.0,1430.0,1431.0,1605.0,1624.0,1669.0,1917.0,2182.0,2242.0,2336.0,2414.0
job 6,410.0,638.0,914.0,1010.0,1281.0,1359.0,1457.0,1632.0,1644.0,1712.0,1982.0,2130.0,2197.0,2234.0,2414.0,2573.0,2667.0,2720.0,2844.0,2849.0
job 7,154.0,235.0,439.0,513.0,581.0,596.0,829.0,1161.0,1191.0,1433.0,1527.0,1731.0,1879.0,2170.0,2293.0,2380.0,2551.0,2571.0,2595.0,2828.0
job 8,84.0,188.0,275.0,379.0,464.0,545.0,612.0,713.0,763.0,820.0,1055.0,1139.0,1372.0,1478.0,1531.0,1629.0,1739.0,2099.0,2182.0,2314.0
job 9,213.0,444.0,673.0,742.0,784.0,849.0,984.0,1048.0,1154.0,1253.0,1355.0,1511.0,1741.0,1939.0,2187.0,2201.0,2398.0,2421.0,2460.0,2537.0
job 10,169.0,263.0,432.0,611.0,747.0,821.0,1048.0,1157.0,1666.0,1688.0,1731.0,1757.0,1844.0,1915.0,1951.0,2014.0,2145.0,2170.0,2201.0,2203.0
job 11,0.0,33.0,234.0,297.0,457.0,702.0,927.0,1303.0,1357.0,1400.0,1488.0,1728.0,1851.0,1854.0,1861.0,2067.0,2099.0,2147.0,2203.0,2560.0
job 12,0.0,91.0,107.0,184.0,593.0,648.0,685.0,699.0,770.0,1010.0,1357.0,1642.0,1712.0,1749.0,2109.0,2323.0,2401.0,2595.0,2693.0,2705.0
job 13,63.0,258.0,570.0,687.0,903.0,970.0,1021.0,1027.0,1345.0,1527.0,1764.0,1861.0,1924.0,2144.0,2264.0,2559.0,2693.0,2769.0,2910.0,2986.0
job 14,200.0,423.0,786.0,1029.0,1097.0,1140.0,1145.0,1154.0,1162.0,1508.0,1573.0,1580.0,1743.0,1960.0,1982.0,2201.0,2287.0,2425.0,2510.0,2661.0
job 15,44.0,71.0,297.0,406.0,514.0,703.0,742.0,771.0,1090.0,1401.0,1475.0,1638.0,1969.0,2137.0,2193.0,2217.0,2452.0,2582.0,2634.0,2716.0
job 16,79.0,393.0,490.0,656.0,660.0,945.0,1029.0,1390.0,1481.0,1488.0,1560.0,1795.0,1958.0,2143.0,2213.0,2323.0,2650.0,2731.0,2786.0,2793.0
job 17,140.0,216.0,299.0,795.0,970.0,1012.0,1075.0,1257.0,1431.0,1462.0,1784.0,1843.0,1951.0,2201.0,2287.0,2406.0,2555.0,2637.0,2812.0,2849.0
job 18,0.0,107.0,337.0,591.0,1030.0,1276.0,1357.0,1376.0,1448.0,1843.0,2017.0,2067.0,2097.0,2310.0,2400.0,2478.0,2571.0,2718.0,2786.0,2844.0
job 19,0.0,377.0,458.0,754.0,862.0,1132.0,1210.0,1606.0,1933.0,1999.0,2250.0,2401.0,2510.0,2578.0,2665.0,2786.0,2866.0,3027.0,3033.0,3056.0
job 20,0.0,31.0,235.0,330.0,369.0,372.0,648.0,726.0,766.0,1084.0,1184.0,1376.0,1467.0,1473.0,1719.0,1890.0,2064.0,2156.0,2252.0,2310.0
job 21,0.0,200.0,250.0,708.0,786.0,821.0,837.0,1210.0,1303.0,1355.0,1393.0,1712.0,1851.0,2023.0,2099.0,2244.0,2344.0,2386.0,2576.0,2650.0
job 22,147.0,298.0,323.0,616.0,723.0,769.0,877.0,1101.0,1113.0,1233.0,1473.0,1573.0,1629.0,1757.0,1844.0,1857.0,1911.0,2284.0,2386.0,2470.0
job 23,0.0,498.0,596.0,774.0,784.0,866.0,1318.0,1345.0,1467.0,1493.0,1525.0,1763.0,1844.0,1877.0,2057.0,2354.0,2421.0,2508.0,2560.0,2582.0
job 24,84.0,330.0,331.0,406.0,432.0,466.0,516.0,882.0,1004.0,1061.0,1105.0,1156.0,1355.0,1397.0,1481.0,1550.0,1878.0,2147.0,2227.0,2310.0
job 25,91.0,188.0,213.0,331.0,491.0,570.0,611.0,616.0,763.0,866.0,936.0,1156.0,1230.0,1255.0,1350.0,1540.0,1688.0,1719.0,1869.0,1986.0
job 26,0.0,250.0,303.0,433.0,923.0,1002.0,1004.0,1247.0,1531.0,1612.0,1632.0,1642.0,1821.0,1878.0,1998.0,2195.0,2293.0,2330.0,2452.0,2584.0
job 27,6.0,35.0,130.0,131.0,175.0,386.0,425.0,821.0,1097.0,1487.0,1817.0,1915.0,2059.0,2535.0,2573.0,2663.0,2694.0,2884.0,2924.0,3019.0
job 28,80.0,305.0,402.0,558.0,854.0,927.0,954.0,984.0,1286.0,1372.0,1519.0,1738.0,1877.0,1987.0,2193.0,2234.0,2278.0,2505.0,2535.0,2559.0
job 29,25.0,61.0,63.0,71.0,263.0,395.0,461.0,564.0,616.0,629.0,849.0,1023.0,1241.0,1580.0,1669.0,1735.0,1803.0,1896.0,2058.0,2123.0
