makespan,tensor(2104.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,0.0,86.0,385.0,426.0,434.0,497.0,531.0,556.0,665.0,679.0,772.0,851.0,1156.0,1297.0,1370.0,1779.0,1856.0,1885.0,1963.0,2022.0
job 1,0.0,129.0,216.0,273.0,365.0,419.0,727.0,890.0,1369.0,1440.0,1539.0,1575.0,1684.0,1762.0,1769.0,1861.0,1872.0,1897.0,2044.0,2071.0
job 2,0.0,109.0,191.0,223.0,372.0,689.0,690.0,771.0,789.0,1200.0,1378.0,1464.0,1511.0,1545.0,1631.0,1650.0,1717.0,1789.0,1795.0,2031.0
job 3,0.0,96.0,195.0,276.0,403.0,510.0,703.0,799.0,1024.0,1107.0,1156.0,1208.0,1529.0,1575.0,1631.0,1791.0,1817.0,1886.0,1973.0,2049.0
job 4,282.0,363.0,486.0,500.0,519.0,543.0,599.0,714.0,727.0,1066.0,1111.0,1146.0,1240.0,1319.0,1404.0,1555.0,1600.0,1731.0,1779.0,1866.0
job 5,0.0,96.0,153.0,227.0,243.0,248.0,258.0,667.0,716.0,774.0,925.0,973.0,1119.0,1191.0,1279.0,1304.0,1359.0,1392.0,1952.0,2054.0
job 6,0.0,36.0,185.0,223.0,291.0,420.0,623.0,689.0,708.0,805.0,928.0,1040.0,1076.0,1084.0,1237.0,1304.0,1839.0,1889.0,1899.0,2005.0
job 7,0.0,72.0,110.0,223.0,462.0,571.0,663.0,716.0,777.0,852.0,949.0,996.0,1016.0,1030.0,1072.0,1316.0,1383.0,1448.0,1512.0,1582.0
job 8,84.0,264.0,291.0,321.0,472.0,491.0,549.0,582.0,716.0,966.0,1050.0,1156.0,1208.0,1240.0,1304.0,1412.0,1565.0,1634.0,1973.0,2031.0
job 9,221.0,576.0,617.0,620.0,671.0,868.0,959.0,1011.0,1088.0,1123.0,1156.0,1232.0,1234.0,1252.0,1350.0,1595.0,1639.0,1879.0,1936.0,1964.0
job 10,88.0,143.0,216.0,647.0,726.0,771.0,858.0,943.0,1107.0,1151.0,1156.0,1240.0,1289.0,1365.0,1732.0,1789.0,1866.0,1889.0,1920.0,1932.0
job 11,50.0,484.0,554.0,679.0,772.0,784.0,921.0,966.0,968.0,1159.0,1246.0,1316.0,1322.0,1333.0,1476.0,1587.0,1739.0,1769.0,1936.0,2007.0
job 12,72.0,175.0,221.0,402.0,524.0,576.0,769.0,851.0,941.0,1016.0,1072.0,1123.0,1208.0,1287.0,1322.0,1445.0,1467.0,1565.0,1636.0,1684.0
job 13,0.0,18.0,255.0,321.0,400.0,434.0,542.0,814.0,1111.0,1308.0,1348.0,1450.0,1506.0,1546.0,1587.0,1718.0,1856.0,1952.0,1964.0,2038.0
job 14,76.0,129.0,145.0,243.0,291.0,866.0,909.0,1039.0,1076.0,1372.0,1468.0,1506.0,1598.0,1694.0,1762.0,1805.0,1807.0,1878.0,1974.0,2096.0
job 15,0.0,96.0,223.0,264.0,387.0,402.0,426.0,604.0,789.0,1431.0,1506.0,1546.0,1576.0,1631.0,1697.0,1807.0,1888.0,1951.0,2029.0,2092.0
job 16,72.0,113.0,167.0,449.0,462.0,542.0,610.0,665.0,714.0,860.0,1011.0,1119.0,1154.0,1234.0,1302.0,1395.0,1488.0,1561.0,1670.0,1886.0
job 17,0.0,249.0,407.0,472.0,531.0,629.0,655.0,712.0,810.0,992.0,1075.0,1208.0,1237.0,1322.0,1339.0,1360.0,1756.0,1799.0,1920.0,1936.0
job 18,0.0,208.0,249.0,271.0,401.0,480.0,500.0,607.0,798.0,897.0,1151.0,1252.0,1297.0,1343.0,1404.0,1440.0,1505.0,1545.0,1770.0,1940.0
job 19,0.0,84.0,149.0,216.0,263.0,322.0,407.0,421.0,486.0,523.0,624.0,1515.0,1600.0,1624.0,1718.0,1751.0,1807.0,1888.0,1897.0,1984.0
job 20,321.0,401.0,485.0,505.0,589.0,663.0,771.0,900.0,973.0,1048.0,1112.0,1150.0,1468.0,1652.0,1750.0,1805.0,1897.0,1973.0,2007.0,2049.0
job 21,272.0,299.0,321.0,578.0,667.0,734.0,739.0,805.0,851.0,949.0,977.0,996.0,1000.0,1030.0,1121.0,1240.0,1383.0,1415.0,1444.0,1631.0
job 22,20.0,564.0,647.0,712.0,765.0,770.0,822.0,829.0,1088.0,1122.0,1140.0,1213.0,1252.0,1346.0,1551.0,1673.0,1674.0,1749.0,1872.0,1891.0
job 23,0.0,132.0,382.0,422.0,456.0,652.0,859.0,1348.0,1447.0,1529.0,1598.0,1624.0,1650.0,1741.0,1794.0,1797.0,1822.0,1854.0,1876.0,1996.0
job 24,0.0,120.0,292.0,395.0,407.0,442.0,584.0,629.0,747.0,996.0,1050.0,1060.0,1146.0,1231.0,1365.0,1445.0,1482.0,1552.0,1913.0,2008.0
job 25,0.0,92.0,202.0,299.0,335.0,372.0,434.0,505.0,866.0,908.0,958.0,1024.0,1063.0,1246.0,1388.0,1448.0,1829.0,1936.0,1973.0,2054.0
job 26,0.0,161.0,208.0,237.0,344.0,422.0,456.0,549.0,603.0,687.0,777.0,859.0,896.0,1039.0,1147.0,1302.0,1414.0,1513.0,1622.0,1681.0
job 27,0.0,36.0,134.0,149.0,195.0,306.0,416.0,497.0,556.0,624.0,716.0,799.0,826.0,951.0,1039.0,1129.0,1679.0,1751.0,1839.0,2034.0
job 28,113.0,273.0,344.0,500.0,578.0,851.0,860.0,1005.0,1060.0,1154.0,1168.0,1200.0,1277.0,1329.0,1359.0,1415.0,1639.0,1741.0,1794.0,1891.0
job 29,0.0,37.0,216.0,321.0,407.0,803.0,866.0,925.0,1244.0,1395.0,1447.0,1541.0,1572.0,1634.0,1673.0,1682.0,1710.0,1753.0,1936.0,1973.0
