makespan,tensor(2122.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,15.0,60.0,167.0,243.0,333.0,541.0,577.0,626.0,712.0,895.0,1478.0,1510.0,1557.0,1577.0,1593.0,1741.0,1818.0,1870.0,1989.0,2029.0
job 1,0.0,81.0,252.0,284.0,425.0,465.0,494.0,577.0,652.0,743.0,779.0,857.0,1210.0,1431.0,1486.0,1539.0,1655.0,1711.0,1784.0,2007.0
job 2,494.0,627.0,712.0,742.0,747.0,886.0,921.0,1054.0,1277.0,1374.0,1452.0,1496.0,1572.0,1588.0,1623.0,1708.0,1781.0,1857.0,1958.0,1963.0
job 3,42.0,168.0,530.0,541.0,684.0,712.0,769.0,862.0,929.0,1068.0,1137.0,1217.0,1258.0,1359.0,1438.0,1515.0,1561.0,1570.0,1738.0,1932.0
job 4,69.0,91.0,225.0,290.0,392.0,543.0,581.0,748.0,833.0,964.0,977.0,1150.0,1306.0,1343.0,1405.0,1478.0,1561.0,1782.0,1912.0,1918.0
job 5,0.0,128.0,186.0,274.0,333.0,404.0,464.0,553.0,656.0,664.0,765.0,864.0,1056.0,1220.0,1335.0,1436.0,1491.0,1593.0,1671.0,1824.0
job 6,0.0,179.0,209.0,256.0,429.0,553.0,624.0,644.0,750.0,815.0,899.0,1099.0,1137.0,1162.0,1210.0,1256.0,1344.0,1782.0,1853.0,1950.0
job 7,0.0,60.0,140.0,224.0,285.0,370.0,448.0,530.0,541.0,673.0,801.0,945.0,958.0,1056.0,1294.0,1486.0,1491.0,1798.0,1874.0,1898.0
job 8,336.0,402.0,683.0,707.0,734.0,819.0,886.0,1044.0,1068.0,1150.0,1179.0,1223.0,1398.0,1505.0,1572.0,1784.0,1872.0,2031.0,2075.0,2108.0
job 9,97.0,128.0,164.0,225.0,319.0,466.0,520.0,663.0,691.0,793.0,911.0,974.0,1040.0,1326.0,1365.0,1453.0,1663.0,1739.0,1835.0,1929.0
job 10,0.0,164.0,258.0,319.0,427.0,524.0,573.0,685.0,742.0,1256.0,1351.0,1488.0,1543.0,1557.0,1682.0,1759.0,1899.0,2035.0,2071.0,2109.0
job 11,88.0,224.0,355.0,419.0,467.0,477.0,524.0,573.0,628.0,743.0,745.0,1106.0,1187.0,1489.0,1584.0,1663.0,1853.0,1942.0,1954.0,2072.0
job 12,178.0,252.0,336.0,391.0,528.0,628.0,760.0,867.0,923.0,957.0,991.0,1045.0,1112.0,1315.0,1379.0,1421.0,1566.0,1631.0,1675.0,1889.0
job 13,0.0,15.0,58.0,91.0,143.0,260.0,339.0,390.0,413.0,432.0,779.0,929.0,1045.0,1124.0,1199.0,1277.0,1778.0,1861.0,1898.0,1977.0
job 14,0.0,28.0,204.0,267.0,439.0,571.0,627.0,728.0,793.0,938.0,1273.0,1367.0,1425.0,1461.0,1546.0,1611.0,1655.0,1708.0,1797.0,2037.0
job 15,0.0,76.0,131.0,290.0,347.0,467.0,572.0,823.0,867.0,991.0,1022.0,1080.0,1109.0,1162.0,1203.0,1283.0,1367.0,1439.0,1675.0,2029.0
