makespan,tensor(2195.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,0.0,95.0,412.0,527.0,673.0,719.0,770.0,848.0,986.0,1064.0,1133.0,1209.0,1304.0,1393.0,1440.0,1464.0,1513.0,1640.0,1960.0,2072.0
job 1,281.0,682.0,770.0,848.0,895.0,919.0,943.0,1041.0,1049.0,1361.0,1458.0,1524.0,1537.0,1587.0,1635.0,1804.0,1845.0,1989.0,2064.0,2098.0
job 2,0.0,4.0,53.0,80.0,183.0,252.0,358.0,711.0,788.0,798.0,1021.0,1245.0,1394.0,1481.0,1557.0,1597.0,1622.0,1645.0,1876.0,1907.0
job 3,114.0,213.0,342.0,408.0,440.0,770.0,826.0,967.0,1020.0,1036.0,1125.0,1259.0,1432.0,1512.0,1717.0,1835.0,1931.0,2007.0,2024.0,2043.0
job 4,0.0,61.0,188.0,266.0,559.0,650.0,698.0,706.0,752.0,1036.0,1100.0,1120.0,1183.0,1198.0,1300.0,1343.0,1440.0,1587.0,1737.0,2141.0
job 5,0.0,64.0,116.0,199.0,372.0,435.0,503.0,512.0,531.0,855.0,925.0,1022.0,1090.0,1350.0,1380.0,1501.0,1626.0,1665.0,1777.0,1895.0
job 6,0.0,177.0,361.0,545.0,599.0,719.0,783.0,902.0,1083.0,1335.0,1396.0,1557.0,1642.0,1686.0,1792.0,1804.0,1848.0,1860.0,1907.0,2176.0
job 7,0.0,55.0,126.0,191.0,319.0,606.0,842.0,982.0,1143.0,1272.0,1335.0,1493.0,1583.0,1646.0,1773.0,1825.0,1845.0,1976.0,2042.0,2044.0
job 8,46.0,332.0,425.0,526.0,564.0,615.0,738.0,803.0,849.0,993.0,1022.0,1085.0,1175.0,1204.0,1301.0,1632.0,1725.0,1825.0,2024.0,2165.0
job 9,88.0,491.0,634.0,657.0,859.0,922.0,943.0,1049.0,1154.0,1271.0,1361.0,1393.0,1404.0,1482.0,1642.0,1705.0,2042.0,2101.0,2122.0,2186.0
job 10,0.0,30.0,155.0,270.0,292.0,344.0,358.0,406.0,573.0,998.0,1260.0,1322.0,1376.0,1422.0,1470.0,1533.0,1772.0,1799.0,1943.0,1958.0
job 11,38.0,57.0,98.0,114.0,197.0,633.0,713.0,788.0,850.0,978.0,1481.0,1501.0,1664.0,1750.0,1868.0,1931.0,1960.0,2017.0,2081.0,2112.0
job 12,57.0,118.0,282.0,332.0,372.0,657.0,759.0,848.0,929.0,945.0,1009.0,1073.0,1133.0,1229.0,1266.0,1348.0,1584.0,1727.0,1745.0,1784.0
job 13,0.0,116.0,444.0,799.0,1009.0,1264.0,1291.0,1299.0,1356.0,1396.0,1402.0,1569.0,1650.0,1726.0,1727.0,1789.0,1931.0,2081.0,2116.0,2127.0
job 14,143.0,201.0,362.0,439.0,544.0,545.0,608.0,633.0,783.0,911.0,969.0,999.0,1539.0,1622.0,1628.0,1708.0,1775.0,1816.0,1856.0,1953.0
job 15,0.0,53.0,156.0,249.0,405.0,466.0,553.0,608.0,760.0,975.0,1043.0,1124.0,1275.0,1304.0,1312.0,1417.0,1650.0,1775.0,1898.0,1967.0
job 16,584.0,682.0,760.0,788.0,803.0,828.0,1123.0,1243.0,1290.0,1373.0,1428.0,1432.0,1458.0,1464.0,1468.0,1470.0,1540.0,1611.0,2050.0,2141.0
job 17,0.0,16.0,57.0,82.0,98.0,428.0,444.0,466.0,523.0,610.0,779.0,868.0,924.0,1326.0,1400.0,1520.0,1610.0,1622.0,1661.0,1789.0
job 18,106.0,140.0,181.0,262.0,282.0,319.0,865.0,913.0,947.0,975.0,996.0,1083.0,1123.0,1147.0,1512.0,1640.0,1834.0,1868.0,1895.0,1931.0
job 19,92.0,131.0,183.0,296.0,362.0,374.0,474.0,527.0,578.0,671.0,782.0,830.0,1052.0,1122.0,1325.0,1396.0,1628.0,1702.0,1855.0,2122.0
job 20,0.0,62.0,201.0,274.0,449.0,698.0,744.0,925.0,929.0,967.0,1049.0,1193.0,1198.0,1323.0,1400.0,1507.0,1708.0,1731.0,1792.0,1886.0
job 21,311.0,405.0,450.0,509.0,564.0,713.0,825.0,987.0,1043.0,1120.0,1175.0,1176.0,1229.0,1300.0,1514.0,1622.0,1632.0,1733.0,1834.0,2101.0
job 22,11.0,118.0,238.0,287.0,296.0,302.0,368.0,384.0,482.0,497.0,668.0,940.0,1032.0,1096.0,1141.0,1236.0,1836.0,2064.0,2072.0,2140.0
job 23,114.0,138.0,203.0,292.0,353.0,531.0,586.0,801.0,850.0,947.0,1036.0,1090.0,1176.0,1568.0,1646.0,1665.0,1676.0,1862.0,1886.0,1955.0
job 24,95.0,183.0,466.0,516.0,680.0,921.0,978.0,1100.0,1187.0,1209.0,1243.0,1275.0,1343.0,1373.0,1413.0,1482.0,1531.0,1676.0,1720.0,2140.0
job 25,0.0,92.0,160.0,242.0,332.0,408.0,534.0,578.0,744.0,750.0,1171.0,1196.0,1368.0,1454.0,1537.0,1556.0,1622.0,1784.0,1792.0,1856.0
job 26,0.0,64.0,91.0,140.0,203.0,281.0,429.0,491.0,534.0,610.0,752.0,828.0,931.0,993.0,1200.0,1210.0,1299.0,1466.0,1507.0,1519.0
job 27,0.0,62.0,118.0,231.0,252.0,332.0,647.0,680.0,929.0,1014.0,1049.0,1187.0,1245.0,1266.0,1275.0,1322.0,1417.0,1519.0,1755.0,1893.0
job 28,0.0,30.0,108.0,143.0,238.0,319.0,599.0,770.0,969.0,1080.0,1147.0,1213.0,1305.0,1468.0,1662.0,1780.0,1832.0,1947.0,2058.0,2157.0
job 29,0.0,80.0,118.0,155.0,425.0,499.0,544.0,668.0,760.0,777.0,814.0,852.0,1046.0,1085.0,1202.0,1259.0,1356.0,1443.0,1524.0,1662.0
