makespan,2587.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,27.0,115.0,143.0,169.0,395.0,483.0,621.0,828.0,880.0,969.0,1056.0,1090.0,1098.0,1102.0,1169.0,1447.0,1762.0,1863.0,2111.0,2250.0
job 1,48.0,102.0,193.0,302.0,496.0,565.0,678.0,733.0,861.0,975.0,981.0,1042.0,1235.0,1385.0,1657.0,1778.0,1831.0,1907.0,1967.0,2031.0
job 2,49.0,376.0,434.0,461.0,641.0,730.0,904.0,996.0,1127.0,1171.0,1299.0,1314.0,1527.0,1568.0,1709.0,1844.0,2015.0,2084.0,2175.0,2189.0
job 3,0.0,71.0,166.0,206.0,244.0,268.0,454.0,617.0,678.0,835.0,969.0,1074.0,1207.0,1376.0,1602.0,1623.0,1641.0,1643.0,1916.0,2052.0
job 4,52.0,140.0,193.0,289.0,311.0,389.0,469.0,502.0,639.0,728.0,928.0,1075.0,1138.0,1390.0,1465.0,1568.0,1578.0,1747.0,1932.0,2020.0
job 5,0.0,274.0,420.0,497.0,619.0,811.0,815.0,908.0,983.0,1242.0,1331.0,1422.0,1479.0,1500.0,1556.0,1717.0,1922.0,2049.0,2069.0,2198.0
job 6,20.0,63.0,133.0,243.0,279.0,329.0,461.0,694.0,947.0,1046.0,1156.0,1207.0,1329.0,1548.0,1565.0,1675.0,1770.0,1814.0,1831.0,1983.0
job 7,0.0,54.0,98.0,165.0,167.0,215.0,329.0,626.0,665.0,811.0,909.0,1118.0,1249.0,1337.0,1833.0,1928.0,2217.0,2311.0,2387.0,2438.0
job 8,0.0,26.0,118.0,204.0,325.0,502.0,725.0,834.0,897.0,996.0,1108.0,1423.0,1483.0,1514.0,1725.0,1809.0,1857.0,2178.0,2217.0,2304.0
job 9,13.0,76.0,143.0,346.0,426.0,434.0,876.0,928.0,961.0,1098.0,1275.0,1361.0,1447.0,1550.0,1683.0,1786.0,1899.0,1991.0,2076.0,2202.0
job 10,29.0,181.0,315.0,423.0,541.0,829.0,933.0,1020.0,1053.0,1371.0,1423.0,1429.0,1459.0,1526.0,1547.0,1883.0,1901.0,1963.0,1987.0,2047.0
job 11,118.0,229.0,428.0,603.0,733.0,741.0,876.0,953.0,1063.0,1143.0,1205.0,1308.0,1442.0,1517.0,1549.0,1586.0,1790.0,1879.0,1938.0,1987.0
job 12,0.0,353.0,546.0,773.0,886.0,1171.0,1285.0,1413.0,1742.0,1874.0,1991.0,2088.0,2133.0,2231.0,2337.0,2416.0,2434.0,2447.0,2486.0,2497.0
job 13,0.0,26.0,150.0,360.0,376.0,450.0,499.0,563.0,789.0,978.0,1074.0,1090.0,1178.0,1401.0,1484.0,1603.0,1648.0,1706.0,1820.0,1928.0
job 14,54.0,103.0,193.0,483.0,578.0,782.0,828.0,1033.0,1189.0,1217.0,1337.0,1547.0,1631.0,1642.0,1753.0,1841.0,2009.0,2096.0,2387.0,2394.0
job 15,0.0,13.0,31.0,39.0,48.0,199.0,206.0,214.0,344.0,712.0,738.0,793.0,817.0,953.0,1101.0,1205.0,1249.0,1309.0,1618.0,1677.0
job 16,0.0,104.0,258.0,495.0,615.0,787.0,1089.0,1145.0,1268.0,1334.0,1365.0,1489.0,1565.0,1610.0,1791.0,1887.0,2060.0,2111.0,2140.0,2142.0
job 17,102.0,167.0,192.0,294.0,384.0,419.0,519.0,565.0,735.0,789.0,874.0,969.0,1020.0,1165.0,1564.0,1657.0,1779.0,1870.0,1977.0,2096.0
job 18,61.0,140.0,233.0,262.0,279.0,426.0,581.0,776.0,834.0,1155.0,1242.0,1344.0,1463.0,1527.0,1556.0,1721.0,1790.0,1910.0,2246.0,2311.0
job 19,0.0,86.0,222.0,422.0,470.0,672.0,765.0,782.0,849.0,909.0,1010.0,1102.0,1213.0,1418.0,1513.0,1607.0,1712.0,1770.0,1863.0,1938.0
job 20,0.0,70.0,146.0,260.0,346.0,369.0,389.0,426.0,536.0,617.0,627.0,678.0,740.0,961.0,1121.0,1185.0,1345.0,1438.0,1748.0,1867.0
job 21,8.0,206.0,302.0,317.0,379.0,572.0,645.0,678.0,732.0,794.0,961.0,1153.0,1322.0,1665.0,1806.0,1848.0,1887.0,1929.0,2070.0,2133.0
job 22,167.0,232.0,267.0,393.0,646.0,815.0,1091.0,1272.0,1314.0,1499.0,1610.0,1699.0,1954.0,1977.0,2149.0,2273.0,2328.0,2438.0,2507.0,2545.0
job 23,0.0,54.0,318.0,470.0,785.0,876.0,967.0,1008.0,1057.0,1217.0,1361.0,1459.0,1526.0,1600.0,1848.0,1941.0,2189.0,2246.0,2328.0,2447.0
job 24,152.0,484.0,572.0,615.0,616.0,731.0,817.0,981.0,1010.0,1089.0,1097.0,1108.0,1149.0,1165.0,1234.0,1299.0,1309.0,1375.0,1459.0,1578.0
job 25,16.0,98.0,237.0,470.0,565.0,590.0,656.0,760.0,904.0,947.0,1195.0,1264.0,1567.0,1665.0,1677.0,1717.0,2018.0,2088.0,2175.0,2200.0
job 26,39.0,229.0,578.0,626.0,682.0,998.0,1138.0,1236.0,1329.0,1459.0,1551.0,1763.0,1854.0,1981.0,2023.0,2080.0,2117.0,2321.0,2410.0,2437.0
job 27,0.0,232.0,426.0,590.0,738.0,835.0,1008.0,1264.0,1344.0,1430.0,1657.0,2032.0,2060.0,2076.0,2133.0,2291.0,2317.0,2337.0,2382.0,2387.0
job 28,18.0,115.0,118.0,512.0,616.0,639.0,641.0,744.0,774.0,869.0,1275.0,1422.0,1638.0,1697.0,1763.0,1778.0,1940.0,2140.0,2178.0,2235.0
job 29,63.0,169.0,222.0,329.0,521.0,544.0,728.0,776.0,827.0,874.0,927.0,953.0,1079.0,1153.0,1483.0,1567.0,1673.0,1814.0,1820.0,1907.0
