makespan,2638.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,0.0,28.0,116.0,181.0,239.0,325.0,425.0,787.0,853.0,861.0,917.0,985.0,1037.0,1072.0,1073.0,1282.0,1356.0,1482.0,1693.0,1795.0
job 1,0.0,67.0,250.0,455.0,604.0,686.0,747.0,856.0,1128.0,1280.0,1492.0,1579.0,1687.0,1772.0,1853.0,1906.0,2047.0,2092.0,2102.0,2106.0
job 2,58.0,102.0,128.0,279.0,314.0,324.0,392.0,516.0,560.0,737.0,790.0,928.0,1159.0,1197.0,1361.0,1517.0,1654.0,1667.0,1728.0,1921.0
job 3,137.0,314.0,401.0,592.0,686.0,885.0,976.0,1197.0,1252.0,1329.0,1503.0,1590.0,1860.0,1881.0,1970.0,2011.0,2103.0,2133.0,2450.0,2508.0
job 4,105.0,133.0,196.0,345.0,437.0,465.0,491.0,588.0,802.0,818.0,899.0,984.0,1265.0,1284.0,1371.0,1579.0,1610.0,1963.0,2022.0,2227.0
job 5,218.0,480.0,516.0,584.0,718.0,790.0,1021.0,1126.0,1169.0,1358.0,1454.0,1513.0,1609.0,1667.0,1739.0,1820.0,1869.0,1870.0,2112.0,2141.0
job 6,25.0,80.0,174.0,338.0,511.0,706.0,833.0,1106.0,1173.0,1221.0,1320.0,1445.0,1491.0,1590.0,1831.0,1898.0,2368.0,2409.0,2451.0,2481.0
job 7,13.0,335.0,501.0,598.0,681.0,707.0,888.0,1097.0,1100.0,1122.0,1193.0,1340.0,1344.0,1438.0,1576.0,1737.0,1866.0,1936.0,1994.0,2106.0
job 8,0.0,133.0,277.0,305.0,368.0,564.0,913.0,1045.0,1112.0,1173.0,1217.0,1388.0,1535.0,1674.0,1792.0,2076.0,2112.0,2203.0,2272.0,2317.0
job 9,33.0,175.0,324.0,401.0,579.0,584.0,628.0,717.0,802.0,911.0,917.0,1115.0,1189.0,1415.0,1475.0,1492.0,1629.0,1665.0,1715.0,1753.0
job 10,38.0,78.0,196.0,531.0,579.0,582.0,637.0,743.0,952.0,1251.0,1368.0,1415.0,1454.0,1549.0,1705.0,1977.0,2102.0,2200.0,2305.0,2385.0
job 11,0.0,84.0,128.0,202.0,421.0,477.0,491.0,579.0,588.0,855.0,949.0,1158.0,1173.0,1288.0,1342.0,1367.0,1457.0,1513.0,1594.0,1595.0
job 12,44.0,189.0,328.0,585.0,786.0,1054.0,1214.0,1441.0,1531.0,1650.0,1787.0,1943.0,2038.0,2159.0,2205.0,2287.0,2376.0,2465.0,2520.0,2594.0
job 13,0.0,171.0,189.0,249.0,320.0,477.0,590.0,641.0,681.0,739.0,976.0,1068.0,1308.0,1348.0,1456.0,1665.0,1732.0,2022.0,2076.0,2416.0
job 14,5.0,117.0,246.0,366.0,462.0,544.0,619.0,720.0,818.0,917.0,1100.0,1259.0,1367.0,1539.0,1725.0,1753.0,1833.0,1869.0,1921.0,1982.0
job 15,0.0,58.0,213.0,299.0,302.0,465.0,573.0,636.0,739.0,762.0,899.0,995.0,1191.0,1329.0,1454.0,1560.0,1650.0,1657.0,1728.0,1791.0
job 16,14.0,102.0,168.0,213.0,275.0,447.0,598.0,670.0,853.0,923.0,983.0,1221.0,1318.0,1411.0,1475.0,1584.0,1599.0,1610.0,1617.0,1704.0
job 17,0.0,2.0,58.0,156.0,312.0,550.0,635.0,663.0,898.0,982.0,1189.0,1251.0,1344.0,1362.0,1495.0,1732.0,1807.0,2145.0,2263.0,2367.0
job 18,2.0,38.0,350.0,493.0,585.0,637.0,764.0,853.0,898.0,923.0,1115.0,1216.0,1425.0,1517.0,1613.0,1649.0,1781.0,1932.0,1994.0,2409.0
job 19,0.0,5.0,13.0,33.0,81.0,299.0,472.0,505.0,573.0,578.0,762.0,806.0,855.0,1040.0,1117.0,1188.0,1284.0,1462.0,1641.0,1875.0
job 20,58.0,221.0,289.0,433.0,462.0,493.0,655.0,979.0,1079.0,1131.0,1188.0,1408.0,1511.0,1638.0,1665.0,1873.0,1977.0,2275.0,2368.0,2428.0
job 21,0.0,25.0,142.0,233.0,312.0,359.0,641.0,751.0,833.0,1036.0,1168.0,1248.0,1390.0,1427.0,1456.0,1546.0,1595.0,1665.0,1687.0,1791.0
job 22,8.0,66.0,168.0,193.0,302.0,345.0,388.0,433.0,481.0,659.0,821.0,1067.0,1126.0,1217.0,1227.0,1400.0,1491.0,1644.0,1970.0,2046.0
