makespan,2520.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,10.0,24.0,78.0,197.0,296.0,503.0,587.0,657.0,790.0,887.0,910.0,972.0,1321.0,1392.0,1399.0,1603.0,1694.0,2067.0,2160.0,2322.0
job 1,95.0,181.0,218.0,608.0,659.0,708.0,928.0,1026.0,1172.0,1256.0,1270.0,1524.0,1602.0,1627.0,1693.0,2016.0,2160.0,2253.0,2334.0,2417.0
job 2,32.0,214.0,311.0,451.0,472.0,659.0,748.0,844.0,1130.0,1227.0,1328.0,1419.0,1500.0,1621.0,1726.0,1886.0,2001.0,2327.0,2412.0,2507.0
job 3,0.0,121.0,192.0,260.0,349.0,351.0,455.0,760.0,859.0,1037.0,1297.0,1321.0,1563.0,1694.0,1943.0,1951.0,1971.0,2027.0,2116.0,2274.0
job 4,18.0,78.0,82.0,146.0,366.0,410.0,526.0,637.0,748.0,839.0,928.0,1044.0,1217.0,1490.0,1748.0,1836.0,1838.0,1869.0,1885.0,2027.0
job 5,0.0,70.0,116.0,197.0,339.0,562.0,601.0,650.0,654.0,752.0,835.0,885.0,966.0,968.0,1188.0,1327.0,1502.0,1553.0,1571.0,1647.0
job 6,15.0,64.0,67.0,167.0,309.0,357.0,509.0,551.0,564.0,628.0,773.0,933.0,1063.0,1154.0,1262.0,1287.0,1395.0,1480.0,1836.0,1909.0
job 7,9.0,113.0,218.0,293.0,541.0,608.0,683.0,752.0,783.0,827.0,864.0,957.0,1029.0,1168.0,1217.0,1356.0,1597.0,1690.0,1712.0,1775.0
job 8,48.0,95.0,250.0,344.0,492.0,604.0,716.0,791.0,938.0,1030.0,1123.0,1297.0,1395.0,1602.0,1676.0,2160.0,2256.0,2267.0,2274.0,2327.0
job 9,129.0,225.0,250.0,426.0,509.0,564.0,714.0,845.0,899.0,907.0,1055.0,1145.0,1305.0,1453.0,1676.0,1782.0,1873.0,1920.0,2164.0,2260.0
job 10,0.0,131.0,229.0,354.0,444.0,670.0,870.0,1131.0,1280.0,1323.0,1470.0,1549.0,1553.0,1648.0,1684.0,1838.0,1912.0,2062.0,2296.0,2310.0
job 11,206.0,325.0,356.0,551.0,616.0,848.0,974.0,1037.0,1375.0,1480.0,1543.0,1565.0,1647.0,1677.0,1749.0,1832.0,1857.0,1880.0,1971.0,2334.0
job 12,0.0,225.0,233.0,360.0,372.0,458.0,513.0,538.0,774.0,855.0,887.0,1001.0,1065.0,1169.0,1220.0,1230.0,1398.0,1566.0,1613.0,1801.0
job 13,0.0,11.0,290.0,395.0,435.0,568.0,618.0,854.0,957.0,1052.0,1199.0,1239.0,1328.0,1533.0,1693.0,1775.0,1782.0,1854.0,2088.0,2267.0
job 14,0.0,48.0,101.0,246.0,387.0,521.0,553.0,725.0,804.0,1030.0,1101.0,1239.0,1318.0,1440.0,1556.0,1634.0,1661.0,1865.0,1966.0,2001.0
job 15,0.0,1.0,15.0,410.0,449.0,479.0,528.0,754.0,825.0,953.0,1154.0,1393.0,1453.0,1476.0,1694.0,1796.0,2028.0,2057.0,2093.0,2367.0
job 16,18.0,71.0,100.0,185.0,295.0,480.0,634.0,702.0,830.0,948.0,1113.0,1188.0,1279.0,1320.0,1346.0,1376.0,1530.0,1549.0,1560.0,1909.0
job 17,0.0,10.0,141.0,215.0,264.0,312.0,351.0,423.0,555.0,634.0,717.0,764.0,902.0,966.0,1099.0,1318.0,1393.0,1419.0,1514.0,1684.0
job 18,55.0,310.0,349.0,398.0,651.0,670.0,819.0,843.0,918.0,1013.0,1157.0,1219.0,1287.0,1493.0,1625.0,1694.0,1749.0,1965.0,2042.0,2318.0
job 19,301.0,395.0,451.0,480.0,529.0,585.0,680.0,764.0,844.0,906.0,988.0,1052.0,1230.0,1453.0,1636.0,1678.0,1765.0,1817.0,1828.0,1878.0
job 20,124.0,311.0,348.0,435.0,577.0,654.0,715.0,746.0,791.0,932.0,974.0,1073.0,1409.0,1490.0,1504.0,1636.0,1736.0,1755.0,1828.0,1856.0
job 21,10.0,64.0,169.0,215.0,440.0,579.0,731.0,843.0,968.0,1001.0,1029.0,1118.0,1212.0,1320.0,1328.0,1408.0,1457.0,1470.0,1566.0,1608.0
job 22,0.0,71.0,177.0,265.0,524.0,713.0,725.0,803.0,878.0,1026.0,1145.0,1230.0,1335.0,1422.0,1531.0,1551.0,1580.0,1610.0,1636.0,1747.0
job 23,0.0,67.0,166.0,250.0,403.0,539.0,702.0,829.0,902.0,948.0,1044.0,1127.0,1230.0,1319.0,1335.0,1376.0,1544.0,1648.0,1941.0,2016.0
job 24,50.0,124.0,143.0,193.0,267.0,349.0,387.0,463.0,536.0,657.0,754.0,930.0,1065.0,1131.0,1161.0,1276.0,1422.0,1765.0,1851.0,1857.0
job 25,0.0,19.0,116.0,218.0,305.0,551.0,650.0,708.0,838.0,1024.0,1256.0,1359.0,1602.0,1678.0,1768.0,1840.0,2012.0,2214.0,2223.0,2357.0
job 26,0.0,229.0,309.0,463.0,553.0,687.0,829.0,906.0,918.0,1080.0,1169.0,1183.0,1565.0,1698.0,1806.0,1833.0,1892.0,1940.0,2006.0,2026.0
job 27,0.0,113.0,131.0,185.0,214.0,292.0,407.0,426.0,458.0,536.0,703.0,774.0,835.0,943.0,1227.0,1300.0,1420.0,1514.0,1531.0,1817.0
job 28,0.0,26.0,42.0,449.0,643.0,782.0,830.0,899.0,1076.0,1130.0,1147.0,1153.0,1291.0,1346.0,1518.0,1580.0,1593.0,1690.0,1761.0,1808.0
job 29,23.0,181.0,239.0,305.0,467.0,598.0,804.0,986.0,1147.0,1243.0,1543.0,1697.0,1897.0,1981.0,2116.0,2208.0,2260.0,2318.0,2412.0,2469.0
