makespan,tensor(1655.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,36.0,102.0,115.0,197.0,324.0,390.0,511.0,704.0,881.0,962.0,978.0,1098.0,1183.0,1224.0,1240.0,1324.0,1358.0,1398.0,1465.0,1562.0
job 1,0.0,44.0,208.0,269.0,310.0,350.0,443.0,595.0,686.0,744.0,866.0,907.0,945.0,1022.0,1122.0,1133.0,1231.0,1455.0,1537.0,1621.0
job 2,0.0,95.0,113.0,186.0,269.0,344.0,443.0,514.0,568.0,666.0,686.0,725.0,755.0,844.0,940.0,1035.0,1101.0,1176.0,1243.0,1347.0
job 3,2.0,81.0,147.0,286.0,446.0,486.0,565.0,623.0,668.0,837.0,866.0,914.0,935.0,1010.0,1171.0,1226.0,1382.0,1465.0,1517.0,1600.0
job 4,0.0,67.0,168.0,283.0,317.0,376.0,454.0,535.0,624.0,651.0,687.0,776.0,872.0,978.0,1066.0,1120.0,1325.0,1372.0,1503.0,1562.0
job 5,0.0,28.0,99.0,135.0,270.0,365.0,397.0,630.0,699.0,838.0,876.0,962.0,1032.0,1059.0,1205.0,1256.0,1305.0,1443.0,1477.0,1511.0
job 6,0.0,78.0,120.0,245.0,317.0,455.0,501.0,666.0,821.0,854.0,952.0,968.0,991.0,1072.0,1183.0,1199.0,1358.0,1464.0,1505.0,1596.0
job 7,0.0,80.0,196.0,235.0,471.0,568.0,661.0,700.0,760.0,806.0,829.0,876.0,915.0,916.0,920.0,1238.0,1314.0,1409.0,1511.0,1553.0
job 8,0.0,317.0,454.0,495.0,501.0,579.0,648.0,758.0,821.0,1003.0,1098.0,1211.0,1246.0,1326.0,1334.0,1354.0,1436.0,1511.0,1562.0,1596.0
job 9,0.0,78.0,149.0,205.0,223.0,231.0,291.0,350.0,429.0,484.0,543.0,565.0,654.0,829.0,1101.0,1222.0,1274.0,1386.0,1464.0,1477.0
job 10,0.0,28.0,40.0,87.0,115.0,241.0,348.0,744.0,909.0,1006.0,1076.0,1149.0,1234.0,1272.0,1304.0,1398.0,1416.0,1499.0,1517.0,1613.0
job 11,44.0,181.0,231.0,310.0,376.0,411.0,471.0,535.0,616.0,622.0,670.0,757.0,818.0,909.0,1032.0,1143.0,1224.0,1274.0,1314.0,1352.0
job 12,0.0,217.0,273.0,324.0,382.0,447.0,467.0,514.0,523.0,579.0,601.0,686.0,812.0,918.0,1007.0,1124.0,1205.0,1325.0,1408.0,1473.0
job 13,0.0,2.0,21.0,80.0,196.0,233.0,310.0,342.0,616.0,688.0,708.0,758.0,844.0,947.0,1029.0,1168.0,1238.0,1317.0,1405.0,1613.0
job 14,13.0,99.0,197.0,242.0,291.0,340.0,390.0,443.0,535.0,575.0,601.0,672.0,1056.0,1085.0,1101.0,1172.0,1231.0,1266.0,1531.0,1621.0
job 15,0.0,87.0,186.0,239.0,332.0,348.0,385.0,455.0,543.0,688.0,780.0,907.0,931.0,991.0,1056.0,1149.0,1272.0,1325.0,1329.0,1480.0
job 16,102.0,149.0,235.0,242.0,411.0,464.0,498.0,557.0,623.0,630.0,686.0,757.0,837.0,940.0,975.0,1045.0,1114.0,1222.0,1249.0,1347.0
job 17,0.0,77.0,120.0,196.0,276.0,317.0,333.0,363.0,447.0,575.0,650.0,725.0,852.0,952.0,1006.0,1072.0,1094.0,1280.0,1423.0,1540.0
job 18,113.0,205.0,214.0,231.0,249.0,329.0,353.0,375.0,467.0,512.0,750.0,799.0,935.0,1001.0,1046.0,1147.0,1240.0,1372.0,1465.0,1564.0
job 19,88.0,168.0,223.0,283.0,648.0,755.0,818.0,852.0,915.0,931.0,981.0,1055.0,1062.0,1074.0,1226.0,1317.0,1382.0,1400.0,1511.0,1600.0
