makespan,1968.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,63.0,129.0,144.0,225.0,275.0,341.0,443.0,543.0,642.0,695.0,915.0,1051.0,1148.0,1201.0,1252.0,1262.0,1381.0,1432.0,1499.0,1571.0
job 1,95.0,139.0,233.0,274.0,315.0,356.0,449.0,638.0,772.0,941.0,1012.0,1065.0,1196.0,1317.0,1396.0,1466.0,1592.0,1729.0,1781.0,1865.0
job 2,209.0,304.0,356.0,429.0,512.0,576.0,676.0,776.0,830.0,928.0,951.0,973.0,1087.0,1275.0,1371.0,1466.0,1494.0,1564.0,1631.0,1663.0
job 3,2.0,67.0,123.0,195.0,311.0,351.0,477.0,535.0,580.0,684.0,713.0,732.0,793.0,996.0,1110.0,1165.0,1302.0,1385.0,1503.0,1561.0
job 4,0.0,67.0,168.0,449.0,499.0,612.0,690.0,716.0,805.0,837.0,921.0,1010.0,1106.0,1123.0,1211.0,1287.0,1343.0,1390.0,1461.0,1684.0
job 5,0.0,28.0,99.0,135.0,261.0,356.0,388.0,408.0,477.0,557.0,595.0,744.0,814.0,837.0,921.0,1003.0,1081.0,1254.0,1275.0,1343.0
job 6,0.0,23.0,112.0,336.0,652.0,729.0,772.0,928.0,996.0,1165.0,1263.0,1279.0,1302.0,1383.0,1461.0,1499.0,1615.0,1706.0,1752.0,1877.0
job 7,0.0,80.0,92.0,157.0,304.0,345.0,372.0,429.0,543.0,589.0,612.0,637.0,642.0,643.0,740.0,767.0,1012.0,1113.0,1181.0,1279.0
job 8,30.0,45.0,112.0,122.0,482.0,607.0,695.0,805.0,859.0,901.0,996.0,1313.0,1336.0,1483.0,1491.0,1511.0,1646.0,1721.0,1763.0,1852.0
job 9,135.0,224.0,408.0,464.0,535.0,639.0,730.0,843.0,996.0,1051.0,1194.0,1281.0,1394.0,1427.0,1546.0,1614.0,1706.0,1756.0,1839.0,1852.0
job 10,0.0,28.0,157.0,210.0,323.0,372.0,459.0,576.0,659.0,725.0,836.0,909.0,1093.0,1131.0,1181.0,1363.0,1381.0,1414.0,1437.0,1605.0
job 11,139.0,204.0,265.0,344.0,464.0,499.0,559.0,717.0,909.0,915.0,966.0,1053.0,1114.0,1205.0,1287.0,1427.0,1555.0,1627.0,1658.0,1696.0
job 12,96.0,177.0,224.0,275.0,516.0,589.0,729.0,776.0,814.0,875.0,897.0,1014.0,1108.0,1163.0,1252.0,1499.0,1580.0,1721.0,1804.0,1869.0
job 13,0.0,2.0,21.0,80.0,137.0,177.0,214.0,246.0,580.0,652.0,666.0,716.0,830.0,1131.0,1194.0,1305.0,1548.0,1627.0,1715.0,1779.0
job 14,93.0,351.0,449.0,585.0,634.0,683.0,717.0,859.0,951.0,1013.0,1136.0,1262.0,1385.0,1416.0,1432.0,1533.0,1592.0,1765.0,1826.0,1915.0
job 15,27.0,63.0,214.0,350.0,443.0,506.0,659.0,729.0,741.0,896.0,948.0,989.0,1000.0,1022.0,1087.0,1090.0,1390.0,1580.0,1584.0,1826.0
job 16,0.0,27.0,131.0,151.0,270.0,323.0,324.0,383.0,401.0,427.0,472.0,559.0,798.0,896.0,926.0,996.0,1216.0,1313.0,1315.0,1712.0
job 17,0.0,246.0,274.0,350.0,427.0,490.0,506.0,609.0,725.0,785.0,860.0,935.0,1114.0,1263.0,1317.0,1383.0,1627.0,1684.0,1797.0,1915.0
job 18,77.0,151.0,183.0,200.0,322.0,411.0,435.0,539.0,693.0,721.0,860.0,909.0,1107.0,1229.0,1421.0,1499.0,1561.0,1646.0,1729.0,1779.0
job 19,13.0,137.0,251.0,311.0,452.0,558.0,696.0,730.0,836.0,852.0,1010.0,1084.0,1091.0,1211.0,1396.0,1483.0,1548.0,1632.0,1712.0,1801.0
